Complexity,Loss,Equation
1,0.04994376,"-0.0008841413"
2,0.049937613,"abs(Lur_2)"
3,0.049723163,"Dprison_Dpov / 0.114055224"
4,0.049431574,"abs(Dinc) / -0.0075929835"
5,0.048058342,"(Dafdc0_t / Dafdc_2) * 0.0002489515"
7,0.043336183,"Dafdc0_2_t_2 / ((0.08483758 / Lur) - -2.3198175)"
9,0.043028705,"Lur / (-1.0175809 - (0.0446184 / (Lur - Dafdc0_2_t_2)))"
11,0.04294638,"Dprison_Dpov + (Lur / (-1.0176053 - (0.04452465 / (Lur - Dafdc0_2_t_2))))"
13,0.04289083,"((0.24762857 * Dafdc0_t) + Lur) / (-1.0508541 - (0.045589592 / (Lur - Dafdc0_2_t_2)))"
15,0.042861436,"Dprison_Dpov + ((Dprison_Dpov + (Lur / (-1.0176053 - (0.04452465 / (Lur - Dafdc0_2_t_2))))) + Dprison_Dpov)"
