Complexity,Loss,Equation
1,0.07550941,"-0.0022545373"
3,0.0752587,"Dpolice_2_t * -2.1800385"
4,0.07521523,"abs(Dinc_Dafdc_t / Lur_2)"
5,0.07461095,"Dinc / (prisonBar_t_2 + 0.80382085)"
6,0.066581115,"Dpolice_Dinc / exp(Lprison * 9.060716)"
8,0.062455088,"Dpolice_Dinc / exp((Lprison * Lprison) * -7.394188)"
10,0.058966164,"((Dpolice_Dinc + Dpolice_Dinc) + Dinc_Dafdc_t) / exp(Lprison * 8.557424)"
12,0.058754932,"(((Dpolice_Dinc + Dpolice_Dinc) + Dinc_Dafdc_t) / exp(Lprison * 8.557614)) - Dpolice_2_t"
13,0.05667276,"(Dpolice_Dinc + (Dpolice_Dinc + Dinc_Dafdc_t)) / exp(Lprison * abs(prisonBar_t + -7.762335))"
15,0.05646167,"(((Dpolice_Dinc + Dinc_Dafdc_t) + Dpolice_Dinc) / exp(Lprison * abs(prisonBar_t + -7.762321))) - Dpolice_2_t"
17,0.05642843,"((((Dinc_Dafdc_t + Dpolice_Dinc) + Dpolice_Dinc) * 1.891148) + Dpolice_Dinc) / exp(abs(prisonBar_t + -7.2468834) * Lprison)"
19,0.05605031,"((Dpolice_Dinc + ((Dpolice_Dinc + (Dpolice_Dinc + Dinc_Dafdc_t)) * 1.9341552)) / exp(Lprison * abs(prisonBar_t_2 + -7.342555))) - Lur_2"
20,0.05597768,"(((square(Lprison) * (Dpolice_Dinc + (Dinc_Dafdc_t + Dpolice_Dinc))) + Dpolice_Dinc) / exp(abs(prisonBar_t + -7.2756524) * Lprison)) - Lur_2"
