Complexity,Loss,Equation
1,0.0029338405,"DxM0"
3,0.0018402926,"xM0 / 0.17761828"
5,0.0012826195,"(DxM0_2 + Linc0_t_2) / 0.021172818"
7,0.0011172683,"((Linc0_t_2 / 0.18145269) + xM0) / 0.18145269"
9,0.0009689665,"((xM0_t / 2.5618248) + Linc0_t_2) / (xM0_t_2 + 0.030501615)"
10,0.00093568116,"(Linc0_t_2 + (xM0_t / 3.6782322)) / (abs(xM0_t_2) + 0.022402922)"
12,0.000864959,"((xM0_t / 2.3289607) + Linc0_t_2) / (abs(xM0_t_2 + xM0_t_2) + 0.024070874)"
14,0.0008338482,"((Linc0_t_2 + (xM0_t / 2.3285315)) / (abs(xM0_t_2 + xM0_t_2) + 0.0238776)) - -0.005462184"
16,0.0008315418,"(((Linc0_t_2 + (xM0_t / 2.3285315)) / (0.0238776 + abs(xM0_t_2 + xM0_t_2))) - -0.005462184) - Linc0_t_2"
18,0.00083032204,"((Linc0_t_2 + (xM0_t / 2.3285315)) / (abs(xM0_t_2 + xM0_t_2) + 0.0238776)) - ((Linc0_t_2 + Linc0_t_2) + -0.005462184)"
20,0.0008198105,"(((xM0_t / 2.3290176) + Linc0_t_2) / ((0.024748802 - (1.856559 * (DxM0_2 + Linc0_t_2))) + abs(xM0_t_2 + xM0_t_2))) - xM0_t_2"
