Complexity,Loss,Equation
1,0.0029172022,"DxM0_t"
2,0.0028372114,"abs(DxM0)"
3,0.0017429692,"Linc0_t_2 * 53.868946"
5,0.0011165189,"(DxM0_2 + Linc0_t_2) / 0.020558912"
7,0.0009808509,"(Linc0_t_2 * 43.920803) + (DxM0 / 0.30558172)"
9,0.0008580467,"(Linc0_t_2 + (xM0_t * 0.34832415)) / (xM0_t_2 + 0.027868714)"
10,0.0008294305,"((xM0_t * 0.33497423) + Linc0_t_2) / (abs(xM0_t_2) + 0.02422723)"
12,0.00079887884,"(((xM0_t * 0.33618346) + Linc0_t_2) - DxM0_2_t_2) / (abs(xM0_t_2) + 0.022185784)"
14,0.0007762058,"(((xM0_t * 0.33618346) + Linc0_t_2) - DxM0_2_t_2) / (abs(Linc0_t_2 + xM0_t_2) + 0.022185784)"
16,0.00077418477,"((((xM0_t * 0.33618346) + Linc0_t_2) - DxM0_2_t_2) / (abs(Linc0_t_2 + xM0_t_2) + 0.022185784)) - xM0_t_2"
