Complexity,Loss,Equation
1,0.0027491455,"DxM0"
3,0.001717165,"xM0_t * 8.964138"
5,0.0011158395,"(DxM0_2 + Linc0_t_2) / 0.019823175"
7,0.00096406165,"((DxM0 * 0.09276951) + Linc0_t_2) / 0.027023267"
9,0.00083834585,"(Linc0_t_2 + (xM0_t * 0.4054785)) / (DxM0_t_2 + 0.030437633)"
10,0.0008076953,"((xM0_t * 0.35482684) + Linc0_t_2) / (abs(DxM0_t_2) + 0.02545822)"
11,0.0008055574,"(((0.4645863 * xM0_t) + Linc0_t_2) / (DxM0_t_2 + 0.032260608)) - DxM0_t_2"
12,0.00079163257,"((Linc0_t_2 + (xM0_t * 0.35482684)) / (abs(xM0_t_2) + 0.02545822)) - DxM0_t_2"
13,0.0007839888,"(((Linc0_t_2 + (xM0_t * 0.5513977)) / (0.034187008 + DxM0_t_2)) - DxM0_t_2) - DxM0_t_2"
14,0.00078312686,"xM0_t + (((Linc0_t_2 + (xM0_t * 0.35482576)) / (abs(DxM0_t_2) + 0.025831748)) - DxM0_t_2)"
15,0.000719752,"(((0.52634364 * xM0_t) + Linc0_t_2) / (0.034187008 + DxM0_t_2)) - (DxM0_t_2 - (xM0_2_t_2 / DxM0))"
16,0.0007022882,"(((0.52634364 * xM0_t) + Linc0_t_2) / (0.034187008 + DxM0_t_2)) - (abs(DxM0_t_2) - (xM0_2_t_2 / DxM0))"
