Complexity,Loss,Equation
1,0.0031951189,"-0.004594666"
2,0.0027934632,"abs(DxM0)"
3,0.0016542004,"incBar_2_t_2 * 268.54834"
5,0.0011858045,"(Linc0_2_t_2 + xM0_2_t) * 180.18753"
7,0.00094804633,"(DxM0_t * -66.14692) + (xM0_t * 93.81309)"
9,0.00087318826,"((DxM0_t * -67.02567) + DxM0) + (xM0_t * 93.13095)"
11,0.00075240555,"(xM0_t * 81.49158) + (DxM0 + ((DxM0_t - Linc0_2_t_2) * -58.501915))"
13,0.0007058182,"(DxM0 + (xM0_t * 81.56893)) + (DxM0 + ((DxM0_t - Linc0_2_t_2) * -60.007107))"
14,0.000688534,"((xM0_t * 81.57993) + DxM0) + (((DxM0_t + square(xM0_t_2)) - Linc0_2_t_2) * -57.74119)"
16,0.0006418717,"((DxM0 + ((DxM0_t - Linc0_2_t_2) * -57.75786)) + DxM0) + ((xM0_t - square(xM0_t_2)) * 80.179245)"
