Complexity,Loss,Equation
1,0.049943756,"-0.0009046523"
2,0.049937613,"abs(Lur_2)"
3,0.04972317,"Dprison_Dpov / 0.11407888"
4,0.04942863,"abs(Dinc) * -142.75742"
5,0.048100907,"Dinc / (Dafdc0_t - -0.0735507)"
7,0.04761042,"(Dinc / (Dafdc0_t - -0.0735507)) / 0.57179725"
9,0.043189257,"Dafdc0_2_t_2 / (0.31727347 - (-0.113023624 / (Lur / 0.10089307)))"
11,0.042032115,"Dafdc0_2_t_2 * (2.7001073 / (0.25488037 - (-0.13309453 / (Lur / 0.06652607))))"
12,0.041975614,"(square(Dafdc0_t) * 2.7001076) / (0.2546634 - (-0.13602065 / (Lur / 0.06550557)))"
13,0.04175056,"square(Dafdc0_t) * (2.7001076 / (0.2546634 - abs(-0.13602065 / (Lur / 0.06550557))))"
15,0.041750103,"((2.7001076 / (0.2546634 - abs(-0.13602065 / (Lur / 0.06550557)))) * square(Dafdc0_t)) + Dprison_Dinc"
