Complexity,Loss,Equation
1,0.0032743344,"2.4066526e-7"
2,0.0028372114,"abs(DxM0)"
3,0.001754608,"xM0 * 5.746605"
5,0.0014985619,"(Linc + xM0) * 5.6308784"
7,0.0012966106,"DxM0 + ((Linc * t) / 0.023904692)"
8,0.0011934056,"(square(DxM0) + (t * Linc)) / 0.023981463"
9,0.00093335897,"((xM0 * 0.12017768) + (t * Linc)) / 0.028628925"
11,0.000923444,"(((t * Linc) + (xM0 * 0.12017768)) / 0.028628925) - Linc"
13,0.00091200694,"(((Linc + (Linc * t)) * t) + (xM0 * 0.23416372)) / 0.053311743"
15,0.0009052821,"((t * (Linc + (Linc * t))) + (xM0 * 0.23416372)) / (0.053311743 + Linc)"
