Complexity,Loss,Equation
1,0.0020779993,"0.0010578348"
2,0.0020760116,"abs(Linc0_t_2)"
3,0.0019863318,"Linc0_t_2 / -0.07535035"
5,0.001966287,"(Linc0_t_2 * -12.953979) - Dafdc_2_t_2"
7,0.0019396876,"((Linc0_t_2 * -2.9608264) - Dafdc_2_t_2) * 4.0461864"
9,0.0019395532,"4.8603487 * ((Dur_Dgun / -1.2070957) - (Dafdc_2_t_2 + Linc0_t_2))"
10,0.0019364951,"((Dur_Dgun * -1.2070957) - (abs(Dur_Dgun) + Linc0_t_2)) * 5.9769335"
11,0.0019174111,"((Linc0_t_2 * -1.2070957) - ((Dur_Dgun + Linc0_t_2) + Dafdc_2_t_2)) * 4.8603487"
12,0.0018817215,"((Dur_Dgun * -1.0950019) - ((Dafdc_2_t_2 + abs(Dur_Dgun)) + Linc0_t_2)) * 5.9855714"
14,0.0018611586,"((Dur_Dgun * -1.1708297) - (abs(Dur_Dgun) + (Linc0_t_2 + (Linc0_t_2 + Dafdc_2_t_2)))) * 5.3257246"
