Complexity,Loss,Equation
1,0.0066575753,"0.002741402"
2,0.0055416413,"abs(DxP0_2)"
3,0.0032833498,"DxP0 - Lpov0_t"
4,0.0028708111,"DxP0 - abs(DxP0_t_2)"
5,0.0026929444,"(DxP0 - DxP0_t_2) - Lpov0_t"
6,0.0025157481,"(DxP0 - abs(DxP0_t_2)) - Lpov0_t"
7,0.0022116036,"(DxP0 - DxP0_t_2) + (Linc0 / 0.042089224)"
9,0.0021941073,"(Linc0 / 0.042072758) + ((DxP0 + Lur_2) - DxP0_t_2)"
10,0.0020919302,"DxP0 + (Linc0 + ((Linc0 / 0.05436873) - abs(DxP0_t)))"
12,0.0019925567,"((DxP0 + ((Linc0 / 0.24582323) / 0.22197074)) + 0.011325097) - abs(DxP0_t_2)"
