Complexity,Loss,Equation
1,0.003263172,"DxM0_2_t_2"
2,0.0028372114,"abs(DxM0)"
3,0.0017429822,"Linc0_t_2 / 0.018618088"
5,0.0011105962,"(DxM0_2 + Linc0_t_2) / 0.019439308"
7,0.0010685984,"((Linc0_t_2 + DxM0_2) / 0.019395249) + DxM0"
9,0.0009863568,"((DxM0 + (Linc0_t_2 / 0.022498667)) + DxM0) + DxM0"
11,0.0009727087,"((Linc0_t_2 / 0.023523226) + DxM0) + ((DxM0 + xM0_t) + DxM0)"
12,0.00096103735,"((DxM0 / 0.36731607) + (Linc0_t_2 / (abs(xM0_t) + 0.0222724))) + xM0_t"
13,0.00095748715,"((DxM0 + DxM0) + (DxM0 + xM0_t)) + (Linc0_t_2 / (0.024215637 + xM0_t_2))"
14,0.0009463705,"(((DxM0 + DxM0) + xM0_t) + (Linc0_t_2 / (abs(xM0_t_2) + 0.023922516))) + DxM0"
16,0.0009409515,"((DxM0 + DxM0) + DxM0) + (((Linc0_t_2 / (abs(xM0_t_2) + 0.023922516)) + xM0_t) + xM0_t_2)"
