Complexity,Loss,Equation
1,0.0023771166,"DxM0"
3,0.0010527129,"Linc0_2_t * 222.49225"
5,0.0009653657,"(Linc0_t + DxM0_2) / 0.024626382"
7,0.0008581279,"(xM0_t + (Linc0_2_t * 26.589233)) * 6.906244"
9,0.0007828603,"((Linc0_2_t * (-0.028714374 / DxM0)) + xM0_t) * 11.417009"
11,0.0007629435,"(Linc0_t + (xM0_t - ((Linc0_2_t_2 / DxM0) * 0.0307694))) * 10.092561"
12,0.0007599679,"((((Linc0_2_t * -0.027044965) / DxM0) + xM0_t) * 11.921878) - abs(xM0_t)"
13,0.0007395921,"((xM0_t - (DxM0 * policeBar_2_t_2)) * 11.469836) + ((Linc0_2_t_2 / DxM0) * -0.3611201)"
14,0.0007283011,"((Linc0_2_t * -0.3340153) / DxM0) + ((xM0_t - square(xM0_t * 4.5202665)) * 13.027795)"
16,0.00070942304,"((xM0_t - abs((xM0_t * 2.1057866) * Lpolice0_2_t_2)) * 12.184279) + ((Linc0_2_t / DxM0) * -0.31065184)"
