Complexity,Loss,Equation
1,0.004920577,"-8.842112e-7"
2,0.0049118474,"abs(urBar_2_t)"
3,0.0048470357,"Dprison_Dpov_t_2 * 9.489571"
4,0.004843069,"square(Dprison_Dpov_t_2) / Lbeer_2"
5,0.0048312778,"abs(square(Dprison_Dpov_t_2) / Lbeer_2)"
6,0.004824547,"(Dprison_Dpov_t_2 / 0.104864314) - square(Dprison0_2)"
7,0.0047881077,"(Dprison_Dpov_t_2 / 0.101036) - (Dprison0_2 * 0.41087294)"
8,0.0047581713,"(Dprison_Dpov_t_2 / (0.077452235 - Lbeer_2)) - square(Dprison0_2)"
10,0.0047044046,"((Dprison_Dpov_t_2 / (0.077452235 - Lbeer_2)) - Dprison0_2) / abs(1.7280493)"
12,0.0046882587,"(((Dprison_Dpov_t_2 / (0.077452235 - Lbeer_2)) - Dprison0_2) / 1.7280493) - square(Lbeer)"
14,0.004687012,"(((Dprison_Dpov_t_2 / (0.077452235 - Lbeer_2)) - (Dprison0_2 - Dprison_Dpov_t_2)) / 1.7280493) - square(Lbeer)"
15,0.0046790396,"(((Dprison_Dpov_t_2 / (0.077452235 - Lbeer_2)) - (Dprison0_2 - square(Dprison0_2))) / 1.7280493) - square(Lbeer)"
