Complexity,Loss,Equation
1,0.0038247076,"DxP0"
3,0.00345475,"Linc0 * 37.653965"
4,0.0034395359,"xP0 - abs(DxP0)"
5,0.0030780465,"DxP0 / (xP0 + 0.6138829)"
6,0.0030588,"(xP0 - abs(DxP0)) * 0.7509633"
7,0.0028664363,"DxP0 / square(square(DxP0 + 0.8525771))"
9,0.0027817981,"(DxP0 + Linc0) / square(square(DxP0 + 0.8525771))"
10,0.0026310922,"(xP0 + DxP0) * abs((t * xP0) - 0.5294337)"
12,0.0025730287,"((xP0 + DxP0) * abs((t * xP0) - 0.5294337)) + Linc0"
14,0.0025041008,"((xP0 + xP0) * abs(((t * xP0) - 0.23366134) + -0.21685281)) + 0.01226014"
