Complexity,Loss,Equation
1,0.006774578,"0.0051162704"
2,0.005521792,"square(xP0_2)"
3,0.0029452003,"xP0 - xP0_2"
5,0.0027784577,"xP0 * (0.6673137 - xP0_t_2)"
6,0.0026953206,"(xP0 - abs(xP0_t_2)) * 0.6673137"
8,0.0024515751,"xP0 * square((xP0_t_2 - 0.4527277) / -0.5100387)"
10,0.0023630185,"(xP0 * square((xP0_t_2 - 0.4527277) / -0.5100387)) - -0.009645489"
11,0.0023203616,"(xP0_2 - ((-0.47574422 + xP0_t_2) / 0.36243162)) * (xP0 - xP0_2)"
13,0.0021936027,"DxP0_2 - ((xP0 - xP0_2) * (((xP0_t_2 + -0.65659225) + xP0_t_2) / 0.5563185))"
14,0.0021806813,"DxP0_2 - ((xP0 - xP0_2) * (((xP0_t_2 * square(1.5190121)) + -0.703368) / 0.5563185))"
15,0.0021075008,"DxP0_2 - ((((xP0_t_2 * 2.7149348) + -0.72568893) * (xP0 - xP0_2)) / (xP0_t_2 + 0.57128704))"
