Complexity,Loss,Equation
1,0.0030802411,"xM0_t"
2,0.0028682805,"abs(DxM0)"
3,0.0017171648,"xM0_t / 0.11156739"
5,0.0014111619,"(Linc0_t_2 * 49.307766) + DxM0"
6,0.0011675697,"(Linc0_t_2 + square(DxM0)) * 51.586452"
7,0.0010979507,"(Linc0_t_2 * 36.808277) + (xM0_t * 6.6258254)"
8,0.0010726104,"(51.586452 * (Linc0_t_2 + square(DxM0))) + DxM0"
9,0.0009562983,"(DxM0 + (DxM0 / 0.43714368)) + (Linc0_t_2 * 40.630146)"
11,0.0009469019,"(((Linc0_t_2 * 40.649364) + xM0_t) + 0.0010995029) + (DxM0 * 2.8694062)"
15,0.0009298783,"DxM0 + ((Linc0_t_2 * 40.629654) + (((xM0_t + DxM0) + (xM0_2_t_2 / -0.09525402)) * 1.7693542))"
16,0.0009162229,"((Linc0_t_2 * 40.629654) + DxM0) + ((((square(DxM0_t_2) / -0.09525402) + DxM0) + xM0_t) * 1.7693542)"
