Complexity,Loss,Equation
1,0.0035990828,"0.0035823681"
2,0.0030521622,"abs(DxM0)"
3,0.0018402926,"xM0 / 0.17757235"
5,0.0016447023,"xM0 + (Linc0_t_2 / 0.019185329)"
7,0.001329533,"(xM0_t + Linc0_t_2) / (DxM0_t + 0.07162194)"
8,0.0012737152,"xM0_t + ((Linc0_t_2 + square(DxM0)) / 0.019185329)"
9,0.0011568724,"((Linc0_t_2 + xM0_t) + Linc0_t_2) / (DxM0_t + 0.079468034)"
11,0.00094098126,"((Linc0_t_2 + Linc0_t_2) + xM0_t) / ((xM0_t_2 * 3.5419908) + 0.066626765)"
13,0.00094018324,"((Linc0_t_2 + Linc0_t_2) + xM0_t) / (((xM0_t_2 * 2.6289418) + xM0_t_2) + 0.06619511)"
14,0.00091870606,"(xM0_t + (Linc0_t_2 + Linc0_t_2)) / (((abs(xM0_t_2) + xM0_t_2) * 2.0903175) + 0.065577485)"
