Complexity,Loss,Equation
1,0.0032283105,"-0.007358841"
3,0.0013258787,"Linc0_t * 49.779106"
5,0.0010545601,"DxV0 + (Linc0_t * 42.522957)"
7,0.0010484364,"(33.764153 * Linc0_t) + (DxV0 + xV0_t)"
8,0.0010401072,"(Linc0_t * 41.925365) + (DxV0 - abs(DxV0_t_2))"
9,0.0009965525,"(Linc0_t * 33.764153) + (xV0_t + (DxV0 - DxV0_t_2))"
10,0.00095876784,"(Linc0_t * 33.764153) + (xV0_t + (DxV0 - abs(DxV0_t)))"
12,0.0009556381,"(Linc0_t * 33.764153) + ((xV0_t + DxV0) - (abs(DxV0_t_2) + DxV0_t_2))"
13,0.0009543294,"(((xV0_t + DxV0) - abs(abs(DxV0_t_2))) + (Linc0_t * 33.764153)) - DxV0_2"
14,0.00093397335,"((((Linc0_t * 33.764153) + xV0_t) + DxV0) - (DxV0_t_2 + abs(DxV0_t_2))) / 0.90007496"
