Complexity,Loss,Equation
1,0.0035990828,"0.0035828657"
2,0.0030521622,"abs(DxM0)"
3,0.0018402926,"xM0 * 5.631347"
5,0.001428541,"(xM0_2 + Linc0_t_2) / 0.016881915"
7,0.0011133907,"(Linc0_t_2 / 0.03207928) + (xM0 * 5.5294538)"
10,0.0010290826,"(xM0 + (Linc0_t_2 / square(DxM0_t + 0.35136178))) / 0.21505459"
11,0.0010191374,"xM0_t + ((xM0 + (Linc0_t_2 / (DxM0_t + 0.09159616))) / 0.25299472)"
12,0.0010172721,"((xM0 + (Linc0_t_2 / square(DxM0_t + 0.3203312))) / 0.24619576) + xM0_t"
13,0.0009641532,"((xM0_t + Linc0_t_2) / (DxM0_t + (xM0_t + (0.0491074 + DxM0_t)))) - -0.01496912"
15,0.0009485381,"(((Linc0_t_2 / 0.30909252) + xM0_t) / ((xM0_t_2 + 0.09462098) + (xM0_t_2 + xM0_t_2))) + xM0"
16,0.0009288008,"((xM0_t + (Linc0_t_2 / 0.3370897)) / (abs(xM0_t_2) + ((xM0_t_2 + xM0_t_2) + 0.07736985))) + 0.0039624874"
