Complexity,Loss,Equation
1,67.79081,"x5"
3,43.532333,"x2 * -4.927842"
5,20.230688,"(x1 - x2) * 5.006897"
7,13.701822,"((x1 - x2) - x4) * 4.3811817"
9,7.5720253,"(((x1 - x2) + x3) - x4) * 3.9951494"
11,3.3128233,"(x3 + (((x1 - x2) * 1.7060605) - x4)) * 2.9526412"
13,2.242176,"((x3 + (((x1 - x2) * 1.7101574) - x4)) * 2.9550843) - x6"
15,1.2599337,"(2.9718516 * (x3 + (((x1 - x2) * 1.6953474) - x4))) - (x6 - x5)"
17,1.2569284,"((x3 + ((((x1 + 0.010879823) - x2) * 1.6948241) - x4)) * 2.9725215) - (x6 - x5)"
19,1.0498649,"(((x3 + ((d * 0.15515573) + ((x1 - x2) * 1.6922314))) - x4) * 2.9651036) - (x6 - x5)"
21,1.0456774,"(((((((d * 0.09194084) - x2) + x1) * 1.6921833) - x4) + x3) * 2.9660273) - ((x6 - x5) - 0.064761885)"
23,1.043469,"((((((((x1 + (x5 * 0.2091792)) - -0.012674223) - x2) * 1.6914502) - x4) + x3) * 2.9667714) - x6) - (d * -0.46169573)"
