Complexity,Loss,Equation
1,60.66784,"x1"
3,43.532333,"x2 * -4.927824"
5,20.230688,"(x1 - x2) * 5.0070395"
7,13.701822,"((x1 - x2) - x4) * 4.3811913"
9,7.572026,"(((x1 + x3) - x2) - x4) * 3.9952037"
11,6.0574985,"(((x1 - x4) + (x3 * 0.660283)) - x2) * 4.359318"
13,2.2537074,"((((x3 - x4) * 0.6024208) + (x1 - x2)) * 5.019318) - x6"
15,2.2360454,"(((((x3 - x4) * 0.58475196) + (x1 - x2)) * 5.055398) + 0.07835073) - x6"
17,1.2592582,"(((((0.58664405 * x3) + (x1 - x2)) * 5.019318) - (x4 * 2.9863584)) - x6) + x5"
19,1.2552146,"x5 + (((((x3 * 0.5843933) + ((x1 - x2) + 0.010748303)) * 5.0355406) - (x4 * 3.0067623)) - x6)"
21,1.2551633,"((x5 + ((((x3 * 0.5836877) + ((x1 - x2) + -0.03938535)) * 5.038289) - (x4 * 3.0027168))) - x6) - -0.2565595"
23,1.2551632,"x5 + ((((((x3 + 0.20892912) * 0.5837038) + (x1 - x2)) * 5.0382915) - ((x4 * 3.0026896) - (-0.40782267 - x6))) - 0.14841986)"
25,1.044874,"(((((x1 + (((x3 + -0.312614) * 0.58664405) + 0.1967354)) - x2) * 5.019318) - (x4 * 2.9863584)) - (x6 - (d * 0.46061292))) + x5"
