Complexity,Loss,Equation
1,85.467415,"2.5130606"
3,77.52573,"x6 * -3.718962"
4,72.47727,"square(x6 - 1.5539808)"
5,61.596745,"x2 - log(square(x3))"
6,50.56002,"x2 - log(square(square(x3)))"
7,42.316772,"(x2 - log(square(x3))) * 2.6617393"
8,40.749355,"(x2 * 4.190664) - log(square(square(x3)))"
9,30.911892,"((x2 - log(square(x3))) - x6) * 2.7152648"
10,29.415169,"2.263121 * ((square(x1) * x2) - log(square(x3)))"
11,17.851702,"(x2 * square(x1 * 2.263121)) - log(square(square(x3)))"
12,16.63791,"((x2 * square(x1 * -1.4544708)) - log(square(x3))) * 2.4372354"
