Complexity,Loss,Equation
1,75.29811,"0.48170456"
2,74.15334,"square(x15)"
3,45.829716,"x0 * 5.416607"
5,22.470098,"(x0 - x1) * 4.934318"
7,13.837166,"(x2 - (x1 - x0)) * 4.4205604"
9,8.238522,"4.0107007 * ((x2 - (x1 - x0)) - x3)"
11,5.966502,"((x2 - (x1 - x0)) * 4.4397078) - (x3 * 2.7466204)"
13,3.105754,"((0.024332875 - (((x1 - x0) * 1.7109146) - x2)) - x3) * 2.9705534"
15,3.1057534,"(((0.0032023867 - (((x1 - x0) * 1.7107717) - x2)) - x3) * 2.970775) + 0.062365755"
17,2.3556972,"((2.9721372 * ((0.58778 - (((x1 - x0) * 1.6975523) - x2)) - x3)) - 1.7237496) - x5"
18,2.3556898,"((((0.58706313 - (((x1 - x0) * 1.6975658) - x2)) - x3) * 2.9721117) - sqrt(2.9721117)) - x5"
19,1.2573974,"(((((0.58778 - (((x1 - x0) * 1.6975523) - x2)) - x3) * 2.9721372) - 1.7237496) + x4) - x5"
