Complexity,Loss,Equation
1,68.6429,"-0.09502233"
3,42.648537,"x1 * -5.134654"
5,20.71249,"(x0 - x1) * 4.880746"
7,13.660889,"((x0 - x3) - x1) * 4.3893633"
9,8.140729,"((x0 + (x2 - x3)) - x1) * 3.9311128"
11,6.236182,"((x2 - x1) + ((x0 * 1.4554725) - x3)) * 3.5545566"
13,3.7034323,"((((x2 - x1) - x1) + (x0 * 1.9218681)) - x3) * 2.6143193"
15,3.632443,"((((x0 * 1.5218956) + ((x2 - x3) - x1)) - x1) * 2.6297154) - x5"
16,3.1778145,"x4 + ((((((square(1.2673047) * x0) - x1) + x2) - x3) - x1) * 2.6153684)"
17,1.5284486,"(x0 * 4.9604573) + (x4 + (((((x2 - x1) - x3) - x1) * 2.6737404) - x5))"
19,1.5282472,"x4 + (((x0 * 4.9606776) + ((((-0.0053597963 - x1) + (x2 - x3)) - x1) * 2.6735535)) - x5)"
