Complexity,Loss,Equation
1,60.07745,"x0"
3,42.648537,"x1 * -5.133252"
5,20.71249,"(x0 - x1) * 4.880751"
7,13.688425,"((x0 - x1) - x3) * 4.291141"
9,8.140729,"((x2 + (x0 - x1)) - x3) * 3.9311228"
11,3.46683,"(((x0 - x1) * 1.7595398) - (x3 - x2)) * 2.8546813"
13,2.5061862,"(2.6567268 * (((x0 - x1) * 1.8535793) - (x3 - x2))) + x4"
14,2.396326,"((((x0 - x1) * 1.6895802) - (x3 - x2)) * square(1.6895802)) + x4"
15,2.2948763,"((((x0 - x1) * 1.6895802) - (x3 - x2)) * 2.9671097) + (x4 * 1.1059594)"
17,2.292828,"((((x0 - x1) * 1.6895802) - ((x3 - 0.015250746) - x2)) * 2.9671097) + (x4 * 1.1059594)"
19,2.2928276,"((((x0 - x1) * 1.6895815) - (x3 + (0.03091856 - x2))) * 2.9671159) + ((x4 + 0.123890705) * 1.1059448)"
