Complexity,Loss,Equation
1,149.19313,"2.501921"
3,115.71112,"x1 * 6.4302444"
5,84.302666,"x1 * square(square(x0))"
6,52.09916,"x1 * square(x0 * 2.262283)"
8,45.96517,"((square(x0) * 5.114774) * x1) + 2.47673"
10,40.57539,"2.562396 + (5.1015635 * ((x1 * square(x0)) - x5))"
11,38.01783,"((x1 * square(-2.2585871 * x0)) - -3.450441) - square(x2)"
12,36.538315,"((0.8832716 - x5) * 3.1047907) + (square(x0 * -2.2524707) * x1)"
13,32.84543,"((x1 * square(x0 * -2.2562091)) - -3.9059057) - (x5 + square(x2))"
15,29.617334,"((x1 * square(x0 * -2.2562091)) - -3.9059057) - ((x5 + square(x2)) + x5)"
16,29.143023,"((square(x0 * -2.2567806) * x1) + square(-0.79327077 * (x5 + -2.509873))) - square(x2)"
17,28.570877,"(((x1 * square(-2.2585871 * x0)) - -3.450441) - ((x5 + x5) + x5)) - square(x2)"
18,27.074959,"((x1 * square(x0 * -2.2562056)) - (x5 + (square(x2) + x5))) - (square(x2) - 4.9925966)"
20,27.069,"(((square(x0 * -2.2562194) * x1) - -4.938542) - (x5 + (square(x2) + x5))) - square(x2 * 0.97667205)"
