Complexity,Loss,Equation
1,68.538704,"x4"
3,42.648537,"x1 * -5.1332316"
5,20.71249,"(x0 - x1) * 4.880744"
7,13.660889,"((x0 - x1) - x3) * 4.389366"
9,8.140728,"((x2 + (x0 - x1)) - x3) * 3.931124"
11,3.4620404,"(((x0 - x1) * 1.7263389) + (x2 - x3)) * 2.8939342"
13,2.4675193,"(((((x0 - x1) * 1.7214115) + x2) - x3) * 2.941488) - x5"
15,1.2544248,"(x4 - (((x2 + ((x0 - x1) * 1.6895913)) - x3) * -2.9701748)) - x5"
17,1.2537645,"x4 + ((-0.025797745 - ((x2 + (((x0 - x1) * 1.6895913) - x3)) * -2.9701748)) - x5)"
19,1.2537627,"((x4 + -0.025797745) - ((x2 + (((x0 - x1) * 1.6895913) - x3)) * -2.9701748)) - (x5 * 1.0013034)"
