Complexity,Loss,Equation
1,60.07745,"x0"
3,42.648537,"x1 * -5.1332364"
5,20.71249,"(x0 - x1) * 4.8807487"
7,13.660888,"((x0 - x1) - x3) * 4.389269"
9,8.14073,"((x2 + (x0 - x3)) - x1) * 3.9315448"
11,7.5601306,"(5.058301 * x0) - (2.895913 * (x1 - (x2 - x3)))"
13,3.8163164,"((x0 * 1.962133) - ((x1 * 1.7055453) - (x2 - x3))) * 2.8946793"
14,3.4679263,"(x0 * 5.058301) - (((x1 * square(-1.3205389)) - (x2 - x3)) * 2.895913)"
15,2.318272,"(x4 + (x0 * 5.058301)) - (((x1 * 1.7438229) - (x2 - x3)) * 2.895913)"
18,1.2691642,"((x4 + (5.058301 * x0)) - (((square(-1.3205389) * x1) - (x2 - x3)) * 2.895913)) - x5"
19,1.2530185,"(((x4 + (x0 * 4.9976926)) - (((x1 * 1.6965704) - (x2 - x3)) * 2.9695458)) - x5) - 0.024568954"
21,1.2528875,"((x4 + ((x0 * 4.996092) - (((x1 * 1.6971996) - (x2 - x3)) * 2.9693005))) - x5) - (x25 * 0.027791154)"
29,1.2464101,"((((x0 - (-0.0547169 - (x3 - x1))) - x2) + x4) * 1.0426304) + ((((((0.4221472 - x3) + x0) - x1) - (0.4429619 - x2)) * 3.996269) - x5)"
39,1.2359861,"((x4 + 0.046042286) - ((-0.009530474 - (x3 - (x5 - (((((0.43161473 - x3) + (x0 - x1)) - (0.14839935 - x2)) - 0.37376484) * 4.0163207)))) - (x2 * -1.0652955))) + (((x4 * 0.13177273) + (x0 - x1)) - -0.27387962)"
