Complexity,Loss,Equation
1,0.9170434,"0.017151818"
3,0.90438044,"x33 * -0.10660456"
5,0.8974913,"(x14 * x39) * -0.15259017"
6,0.8939168,"square(x46 * (x23 * 0.2071051))"
7,0.8914541,"square(square((x9 - x40) * -0.22236629))"
8,0.8793099,"square(-0.16847251 * (x9 * (x40 - x46)))"
9,0.87577206,"square(square(0.15813333 * (x9 * (x40 - x46))))"
10,0.87556124,"square(0.15813333 * ((x9 * (x40 - x46)) - x22))"
11,0.86392003,"square(square(((x9 * (x40 - x46)) - x22) * 0.15910316))"
13,0.86321455,"square(square((x22 - (x9 * (x40 - x46))) * -0.15994766)) - 0.026882367"
19,0.85307705,"(x46 + (x49 - -0.36038387)) * sqrt(square((x27 * (x9 + 0.4376018)) * ((x40 * 0.13665989) + -0.08817908)))"
25,0.8466391,"((x49 + x46) - -0.44393787) * sqrt(square((x27 * ((x9 + (x39 * -0.35467046)) - (x40 * 0.45062393))) * ((x40 * 0.08802656) + -0.11361611)))"
31,0.8430635,"((x46 + x49) - -0.48613986) * sqrt(square(((x40 * 0.047808617) + ((x9 + (((x40 * 0.4971219) + (x48 * -0.26176047)) * -2.844918)) * (x27 * -0.07534629))) * (x9 + 0.38881683)))"
34,0.8370088,"(x46 + 0.25260505) * square(0.0935869 - sqrt(square((((((x9 * (x42 * (x7 + 0.07794449))) - (x40 * -0.13254097)) * x9) * 0.09458606) + ((x29 * -0.110315375) + -0.01547846)) * (x40 * 2.064516))))"
35,0.828063,"(sqrt(square((x40 * 1.2447008) * ((((((((x7 * 0.1040947) * x9) + (x30 * -0.07767494)) * x42) - (x40 * 0.012914015)) * (x9 + 0.34511873)) * 1.3766744) + 0.17018948))) + -0.1791575) * (x46 + 0.3344137)"
