Complexity,Loss,Equation
1,60.07745,"x0"
3,42.648537,"x1 * -5.13327"
5,20.71249,"(x0 - x1) * 4.8807316"
7,13.660888,"((x0 - x1) - x3) * 4.389269"
9,10.8498955,"(x2 + ((x1 - x0) * -4.920526)) - x3"
11,6.5145884,"x0 - ((((x2 - x3) + x0) - x1) * -3.6985438)"
13,5.338216,"(x4 - (((x2 + (x0 - x3)) - x1) * -3.7111511)) - x1"
15,3.4620404,"(((x2 + ((x1 - x0) * -0.72642297)) + (x0 - x3)) - x1) * 2.8936715"
17,3.4567568,"(((x3 * -1.9205389) + 0.059219778) - (x2 * -2.868653)) + (((x0 - x1) * 4.9968815) - x3)"
19,1.256089,"(x4 - ((((x0 + (x2 - x3)) - x1) * -2.9418902) + ((x0 - x1) * -2.076678))) - x5"
21,1.2537646,"(x4 - ((((x0 - x1) * -2.0482109) + (((x0 + (x2 - x3)) - x1) * -2.97016)) + 0.025679512)) - x5"
23,1.2507815,"((x4 - ((x43 * 0.06141732) + ((((x2 + x0) - x3) - x1) * -2.9673307))) + ((x0 - x1) * 2.0511465)) - x5"
25,1.2470311,"(x4 - (((((x43 * 0.04236565) + -2.971957) * (((x0 + x2) - x3) - x1)) + ((x0 - x1) * -2.04792)) + 0.030012088)) - x5"
32,1.2433028,"((square(0.20838733 * x24) + ((((x2 - x3) + (x0 - x1)) * ((x13 + 2.9734879) - x13)) + ((x4 - x5) - -0.024563594))) - ((x0 - x1) * -2.0451708)) + -0.10028273"
33,1.2371848,"((((((x0 + (x2 - x3)) - x1) * 2.9788775) + (((x4 - 0.8278229) * 0.13191818) + x13)) - ((((x0 - x1) * -2.041457) + x13) + 0.30099043)) + (x4 - x5)) - -0.38224515"
41,1.2365168,"((((0.21166761 - ((x0 - x1) * -2.032837)) + -0.12184958) + (((x4 - x5) - -0.497366) + -0.68319976)) + ((0.8956555 - (x4 + ((x38 * -0.028261185) + 3.1550806))) * -0.14064243)) + ((x0 + (((x2 - x3) + -0.084823675) - x1)) * 2.9841306)"
43,1.2358458,"(0.35428396 - ((x4 * -1.1310668) + ((x5 - -0.023538962) + ((((x2 - x3) * -2.9782023) + (((((1.3867488 - ((x1 * 0.8105821) + -1.3250304)) - (10.476061 - x1)) * -0.21143514) + (x0 - x1)) * -1.3889475)) + ((x0 - x1) * -3.6026573))))) + -2.6366792"
48,1.2352623,"((((((x13 - (((x0 - x1) * -1.9944284) + (x13 + 0.33217782))) + x4) - x5) - -0.54788375) + -0.63131976) + ((x5 - square((((x1 * -0.8838845) + (x4 + 0.3559885)) + -0.46128824) - -2.6582012)) * -0.023294372)) + ((x0 + (((x2 - x3) + 0.06650732) - x1)) * 2.9739354)"
