Complexity,Loss,Equation
1,68.6429,"-0.09560625"
3,42.648537,"x1 * -5.133237"
5,20.71249,"(x0 - x1) * 4.880746"
7,13.660888,"((x0 - x1) - x3) * 4.389269"
9,8.158648,"3.9987748 * (((x0 - x1) + x2) - x3)"
11,6.7023563,"x3 + (((x2 + (x0 - x1)) - x3) * 4.176524)"
13,5.3912215,"((x2 * 2.7774315) + (4.0207863 * ((x0 - x1) - x3))) + x0"
15,4.41523,"x3 + (((2.7774315 * x2) + (((x0 - x1) - x3) * 4.0207863)) - x5)"
17,3.3575566,"x0 + (x3 + ((2.7774315 * x2) + ((((x0 - x1) - x3) * 4.0207863) - x5)))"
19,2.2972393,"(((x4 + ((((x0 - x1) - x3) * 4.0207863) - x5)) + x3) + (2.7774315 * x2)) + x0"
21,1.2523057,"(x2 * 2.9418473) + (((x4 + ((((x0 - x1) - x3) * 5.0185847) - x5)) + (x3 * 2.0189266)) + -0.031192988)"
37,1.2523017,"(((((((x0 - x1) * 2.0188978) - x0) + (((x0 - x1) - (x3 - ((x5 + -0.58974713) * -0.0006554042))) * 2.9997017)) + ((x0 + -1.132079) - -1.3067323)) - (x5 + (x2 * -2.941839))) + x4) - 0.20714569"
41,1.2519057,"(((x4 + ((x0 - x1) * 3.0149884)) - (x0 - x5)) + ((x0 + x3) + ((((((((x0 - x1) - x3) - (x5 + x0)) * 1.0107981) + (x0 - -1.3559256)) - x3) + -1.368453) * 1.9872415))) - (x2 * -2.9452977)"
