Complexity,Loss,Equation
1,62.02735,"x2"
2,61.64523,"square(x19)"
3,44.151943,"x1 * -5.6661196"
5,19.485594,"(x0 - x1) * 5.86023"
7,14.2188835,"((x0 - x1) * 5.738673) - x3"
9,7.048981,"(((x0 + x2) - x1) - x3) * 3.9205992"
11,5.7927766,"((x0 + ((x2 - x1) - x3)) * 3.9766085) + x25"
13,3.3997433,"(((x2 - x1) - x3) + ((x0 + x0) - x1)) * 2.8646498"
15,2.9802015,"(((x0 + (x2 - x1)) + ((x0 - x1) - x3)) * 2.7256763) - 0.4849107"
17,1.7156192,"((2.6258829 * (((x0 + x0) + ((x2 - x1) - x1)) - x3)) + x4) - x43"
19,1.4586388,"(((((x0 + (x0 + x2)) - x1) - x1) - x3) * 2.698934) + (x4 + (-0.46686202 - x43))"
21,1.1151456,"(((x0 + (((x2 - x1) - x1) + ((x0 - 0.91552246) - x3))) * 2.6309814) - x5) + (x4 - -2.159708)"
23,1.1103219,"((0.5089654 - x5) + ((((((x0 + (x2 - x1)) - x1) - x3) + x0) * 2.6368375) + (x4 * 0.9963691))) - 0.6921365"
25,1.1076934,"((((((x0 + (x2 - x1)) - x1) + (x0 - 0.91552246)) - x3) * 2.6309814) - ((x5 - 0.070748016) * 1.0567497)) + (x4 - -2.159708)"
27,0.9667059,"((((x0 + (((x2 - x1) - x1) + ((x0 - 1.2826428) - x3))) * 2.574489) - (x5 - ((x2 + 0.21939625) * 0.45626265))) + x4) - -2.9747167"
28,0.909038,"(((((((x0 + (x0 + x2)) - x1) - x1) - x3) * 2.6684544) - 0.784733) + x4) + (((0.29559368 - x21) * (square(x10) + -0.7109146)) - x43)"
29,0.87182754,"((((((x0 - 0.8753343) + ((x0 + ((x2 - x1) - x1)) - x3)) * 2.540308) - x5) - (((x2 - x10) + -0.5518304) * -0.4238447)) + x4) - -2.1747751"
31,0.8506496,"(((((x0 + (((((x2 - x1) - x1) + x0) - 0.91552246) - x3)) * 2.6309814) - x5) - (((x2 - 0.9031034) + (1.046117 + x37)) * -0.3145543)) + x4) - -2.159708"
44,0.69811285,"(((((x0 * ((square(x0) - -1.8327875) + x3)) - (x10 - ((x39 - -1.1159508) * -0.50432557))) - x3) - x5) * 1.085548) + (((((x2 + x2) + (((x1 * -3.6592472) - x1) + x2)) + (x0 + 0.7723865)) - x3) + (x21 - 0.661492))"
48,0.5641803,"(((((x0 * (x3 + (square(x0) - -1.6196657))) - (x10 - (((x39 - x0) - x7) * -0.44991896))) - x3) - x5) * 1.0300227) + (x0 + (((x2 + (((x2 + (x1 * -3.5964704)) - x1) + ((x2 + 0.6375727) + (-0.27921662 - x3)))) + x21) - 0.97208387))"
