Complexity,Loss,Equation
1,108.69791,"2.8727422"
3,92.603645,"x1 * 4.9150586"
5,80.25762,"(x1 - x5) * 4.0865817"
7,74.00857,"((x1 - x5) * 3.9810708) + 2.504458"
9,72.807014,"((x1 - x5) * (x1 + 3.8899388)) + 1.4565294"
11,72.52722,"((x1 - x5) * ((x1 * 0.6971573) - -3.9175062)) + 1.7742711"
15,70.362526,"(((-0.62859654 - x5) + (x1 + (1.7864227 - (x2 * x2)))) + 1.5345321) * 2.2550237"
17,68.78638,"(((((-0.62859654 - x5) + x1) + 1.7864227) - ((x2 * x2) + 0.58507085)) + 1.5345321) * 2.2550237"
19,61.166603,"((((-1.016996 - x5) + ((x1 + 1.9323905) * 1.6752425)) - ((x2 * x2) + 1.3363129)) * 2.8650613) + 2.715623"
23,60.013443,"3.7986405 - (((x5 + ((-0.2020183 - x1) - x1)) + ((x2 + x3) * (0.23262987 - ((x4 + 0.26036456) - x2)))) * 2.0191984)"
25,59.09121,"(2.5826871 - (((x5 + ((-0.2020183 - x1) - x1)) + ((x2 + x3) * (0.05411665 - (x4 - x2)))) * 2.0191984)) + (0.62265843 - x5)"
31,58.707806,"(3.8092208 - (((((x5 + -0.3281802) - x1) * 1.3713517) + ((((-0.103819095 - (x4 + (0.66804624 - x2))) * x2) - x1) + x2)) * 2.0753622)) + ((0.1056315 - x9) * -0.82588094)"
36,58.705086,"(log(1.1006721) + ((3.8179245 - (((1.3643839 * (x5 + (-0.35483563 - x1))) + ((((-0.1116605 - ((x4 + 0.6795692) - x2)) * x2) - x1) + x2)) * 2.0804408)) + -0.18146409)) + ((0.10005321 - x9) * -0.80882555)"
37,57.916134,"((0.5304289 - ((((-0.31436333 - x1) + -0.5266396) - x1) + ((((x2 + x3) * (0.29559344 - (x4 - (x2 + -0.11307012)))) * 1.5876666) + (((x5 - x1) + -0.056989692) * 2.246626)))) + 2.4895937) - (x5 - x14)"
