Complexity,Loss,Equation
1,0.9578666,"0.021685854"
3,0.92673737,"x22 * 0.18494408"
5,0.9169647,"(x41 * 0.21265681) * x0"
7,0.9051699,"((-1.0057504 - x2) * x22) * -0.18499757"
9,0.88459104,"(((x44 + -0.60062706) * x1) - x22) * -0.18104066"
11,0.8844699,"(((x1 * (x44 + -0.60062706)) - x22) * -0.18104066) - -0.010990097"
13,0.88284606,"(((x1 * (x44 + -0.60062706)) - x22) * -0.18104066) - (-0.010990097 * x26)"
17,0.8746853,"(((((x0 + x45) * x25) + (x47 * -0.89370507)) - (x2 + 1.5947429)) * x22) * -0.15189976"
19,0.87430257,"(((x0 + x45) * x25) + ((-0.89370507 * (x47 - 0.10357442)) - (x2 + 1.5947429))) * (x22 * -0.15189976)"
21,0.86108387,"-0.15189976 * (((((x0 + x45) * x25) + (-0.84734714 * (x47 - (0.10357442 - x42)))) - (x2 + 1.5947429)) * x22)"
23,0.8567923,"((((x0 + x45) * x25) + (-0.89370507 * (x47 - ((0.362523 * x26) - x42)))) - (x2 + 1.5947429)) * (-0.15189976 * x22)"
29,0.8510246,"(((((x0 + x45) * x25) + ((((x3 * x14) - ((0.3258679 - x47) - x42)) * 2.280701) * -0.40933123)) - (x2 + 1.5947429)) * 2.4532924) * (x22 * -0.061916698)"
35,0.8448388,"((((((((x14 * x3) - ((x26 - x47) - (x42 * 2.280701))) * -0.3694742) - (x2 + 1.5947429)) + ((x0 + x45) * x25)) * 2.4532924) - ((x4 + x47) + -0.34255293)) * x22) * -0.061916698"
