Complexity,Loss,Equation
1,68.64289,"-0.09544875"
3,42.648537,"x1 * -5.133239"
5,20.71249,"(x0 - x1) * 4.8807507"
7,13.79005,"(x2 + (x0 - x1)) * 4.3320804"
9,8.140729,"((x0 - x1) - (x3 - x2)) * 3.9311213"
11,3.4642768,"((x2 + (1.7070962 * (x0 - x1))) - x3) * 2.9266446"
13,3.4579291,"(((((x0 - x1) + 0.012846084) * 1.7263043) - x3) + x2) * 2.8941724"
17,2.6530511,"x4 + (((((x0 - x1) + (x0 - -0.018529719)) + (x2 - x3)) - x1) * 2.594089)"
19,1.6136094,"(((((((x0 - x1) + x0) - 0.00948929) + (x2 - x3)) - x1) * 2.5987856) - x5) + x4"
29,1.5216149,"(((((((x0 + x2) + (x4 - x1)) + ((x0 - x1) + ((x2 + x0) - x3))) - x3) - (x1 * 0.26767462)) - x1) * 1.5578741) - x5"
31,1.4943409,"(((((x4 - x1) + ((x2 * 0.8798377) + ((x2 + (x0 + (((x0 - 0.029359657) - x3) - x3))) + (x0 - x1)))) * 0.82156396) - x1) * 1.9239818) - x5"
37,1.4142256,"((x4 - -0.12692593) + (((x2 + (((x0 + ((((0.046278093 - x3) + x2) + ((x4 - x1) - x4)) + ((x0 - x3) - x1))) + (x0 - x1)) * 1.657362)) + 0.33019167) - x5)) + -0.6231536"
