Complexity,Loss,Equation
1,15.196422,"0.31476203"
3,11.168551,"x3 * x4"
5,8.022391,"x3 * (x4 * 2.921035)"
7,5.9059973,"(x4 * (x3 * 2.896176)) + x1"
9,5.582273,"(x1 * 1.5729299) + ((x3 * 2.8813818) * x4)"
11,2.6986394,"((x0 * x1) * x0) + ((x3 * x4) * 2.9966483)"
13,0.91458035,"(x3 * (x4 * 2.9967859)) + ((x0 * (x1 * 2.0033162)) * x0)"
15,0.909012,"(x4 * (3.018743 * (x3 - -0.027084682))) + ((x0 * (x1 * 1.9959972)) * x0)"
17,0.9060124,"((x4 * 3.018743) * (x3 - -0.027084682)) + (((x0 * (x1 * 1.9959972)) + -0.056517016) * x0)"
19,0.8923964,"((x0 * x1) * ((x0 + x0) + 0.04209832)) + (((x3 * x4) + (x34 * 0.049398825)) * 2.9897823)"
21,0.8862449,"(x34 * 0.16931163) + (((x1 * ((x0 + x0) + 0.051063694)) * x0) + (((x3 * 3.0187836) - -0.09187945) * x4))"
23,0.88417035,"(x34 * 0.15506504) + ((((((x0 + x0) + 0.04608001) * x1) * x0) + (((x3 * 3.0103264) - -0.086314455) * x4)) + -0.04020505)"
25,0.8806554,"((x34 * 0.14929672) + ((((x0 + (x0 + 0.04760142)) * x0) * x1) + (((x3 * 3.0045562) - -0.078318365) * x4))) - (x2 * 0.07230806)"
27,0.87845266,"((((x34 * 0.15514866) + ((x0 + (x0 + 0.045328815)) * (x0 * x1))) + (((x3 * 3.0075395) - -0.07944818) * x4)) - (x2 * 0.07687629)) - 0.047660314"
31,0.8757436,"(x34 * 0.16931163) + (((x1 * ((x0 + x0) + 0.051063694)) * x0) + ((x4 * ((x3 * 3.0187836) - -0.09187945)) - (((x0 - (x27 - x2)) + 0.46530968) * 0.04921919)))"
