Complexity,Loss,Equation
1,153.60309,"4.129468"
3,136.42813,"x1 * 6.272284"
5,120.655205,"(x1 * 6.1570435) + 3.9729376"
7,76.46629,"(x1 * (x0 * 5.8710136)) * x0"
9,62.22082,"((x1 * x0) * (x0 * 5.7859564)) - -3.7769287"
11,61.95993,"((x0 * ((0.06681002 - x1) * x0)) * -5.8300805) - -4.1425753"
13,40.753548,"((x3 * x4) - (-0.6564487 - ((x1 * x0) * x0))) * 5.4953547"
15,40.46988,"x1 + (((x3 * x4) - (-0.6857445 - ((x1 * x0) * x0))) * 5.2576537)"
17,40.416626,"(((x3 * x4) - (-0.32811025 - (x1 * ((x0 * x0) - -0.13426271)))) * 5.3253345) - -1.8592265"
19,39.840363,"((((x4 * x3) - ((0.02228151 - x1) * (x0 * x0))) * 5.7731805) - (x4 * x3)) + 3.7375972"
21,39.375504,"(((x4 * 4.7132983) * x3) - ((0.025416158 - x1) * (((x0 * x0) * 5.8781524) - (x8 * 0.7173012)))) + 3.8033793"
29,39.35533,"(((x3 * x4) - (-0.652412 - ((x0 * x0) * x1))) * 5.605112) + ((-0.06030169 - ((x4 - -0.55586135) * ((x3 - (x1 * -0.56115896)) + x7))) + x1)"
31,32.098816,"((((((x4 * x3) - (-0.6060295 - ((x1 * x0) * x0))) * 5.6478643) - ((-0.48792583 - (((0.9639554 - x2) + 0.031034045) * x2)) * 1.2818038)) - x2) + 0.592929) - x6"
33,30.59856,"(((((x4 * x3) - (-0.6060295 - ((x1 * x0) * x0))) * 5.6478643) - ((1.3086343 - ((x8 * x46) * 0.026830375)) * (-0.48792583 - ((0.9639554 - x2) * x2)))) - x2) + 0.592929"
35,26.935701,"(((((x4 * x3) - (-0.774615 - (x1 * (x0 * x0)))) * 5.36736) - ((-0.7019611 - ((0.68490356 - (x2 + 0.34831813)) * x2)) * (2.5577154 - ((x8 * x46) * 0.29987824)))) - x2) + 0.18020995"
