Complexity,Loss,Equation
1,1.0374334,"0.00962675"
3,1.0370408,"x16 * 0.022061046"
5,1.0356934,"x8 * (x22 * 0.042575654)"
7,1.0349277,"(x22 * (x8 - x31)) * 0.033380855"
9,1.0347369,"((x22 * (x8 - x31)) + x16) * 0.023616176"
11,1.0338392,"(x32 - (x10 + x47)) * ((x41 - x40) * 0.027445365)"
13,1.0331798,"((x31 - x0) * (x3 - ((x8 + 1.2377262) * x1))) * 0.023616176"
15,1.0316379,"(x16 + ((x1 * (x31 - x4)) * (x3 - (x8 + 1.519883)))) * 0.020606698"
17,1.0312359,"(x16 + ((x1 * ((x31 - x0) - x4)) * (x3 - (x8 + 1.519883)))) * 0.020606698"
19,1.0307841,"(x16 + (((x3 - (x8 + 1.5217991)) * x1) * ((x31 - (x0 * 0.52010113)) - x4))) * 0.024077134"
23,1.030141,"((((x22 * (x8 - x31)) + x16) + (x16 * x6)) + ((x0 - x31) * ((1.2377262 + x8) * x1))) * 0.023616176"
26,1.0298289,"((x22 * x8) + ((x16 + ((x16 * x6) + log(1.3252454))) + ((x31 - x0) * (x3 - (x1 * (x8 + 1.2377262)))))) * 0.023616176"
27,1.0296239,"((((x22 * x8) + ((x31 - x0) * (x3 - (x1 * (1.2377262 + x8))))) + (x22 * x8)) + (x16 + (x16 * x6))) * 0.023616176"
28,1.0292895,"((((x22 * (x8 - x47)) + (x16 + (x16 * x6))) + log(1.3252454)) + ((x31 - x0) * (x3 - ((x8 + 1.2377262) * x1)))) * 0.023616176"
29,1.0287116,"0.023616176 * (((x31 - x0) * (x3 - ((x8 + 1.2377262) * x1))) + (((x22 * ((1.3252454 * x8) - x47)) - x47) + (x16 + (x16 * x6))))"
31,1.0285977,"((x41 + 0.5638483) * -0.016779888) * (((((1.0590056 - (x3 - ((x8 + 1.0844381) * x1))) * (((x3 + x31) + (x8 * x1)) + x10)) - x16) - 0.29255113) + 0.18232787)"
33,1.0280008,"0.028768046 * ((((0.7730644 + x41) * -0.4460647) * (((0.86433953 - (x3 - ((x8 + 1.7054017) * x1))) * (((x8 * x1) + x3) + (x31 - x23))) + (x10 - x16))) + 0.1576283)"
34,1.027973,"0.028768046 * ((((0.7730644 + x41) * -0.4460647) * (((0.86433953 - (x3 - ((x8 + 1.7054017) * x1))) * (((x8 * x1) + x3) + (x31 - x23))) + (x10 - x16))) + log(1.5574366))"
35,1.027109,"0.028768046 * (x3 + ((-0.4460647 * (x10 + (((0.86433953 - (x3 - ((x8 + 1.5320927) * x1))) * (((x8 * x1) + x3) + (x31 - x23))) + (x10 - x16)))) * (0.7730644 + x41)))"
39,1.0268044,"(((((x41 + 0.7556794) * (((((x8 * x1) + x31) + ((x3 - ((x4 + x8) + -0.5228319)) + x10)) * (1.0216304 - (x3 - ((x8 + 1.6824732) * x1)))) - x16)) * -0.42166054) - x4) * 0.028585274) + 0.014157262"
