Complexity,Loss,Equation
1,1.0257554,"0.0011715674"
3,1.0247545,"x36 * 0.031428877"
5,1.0235234,"(x21 * 0.045140788) * x20"
7,1.0225676,"((x40 * x5) - x36) * -0.03321578"
9,1.0213993,"x5 * ((x2 - (x36 + x42)) * -0.03321578)"
13,1.0202,"((-0.8801021 - x5) - ((x21 + -0.63239413) * x39)) * (-0.03834449 * x36)"
15,1.018832,"(((-0.77505594 - x5) - ((x21 + (x48 + -0.5478503)) * x39)) * x36) * -0.041817363"
17,1.018194,"(((-0.9199433 - x5) - ((((x21 + x48) - x27) + -0.63239413) * x39)) * -0.03834449) * x36"
19,1.0181805,"((-0.81108344 - x5) - (((x21 + -0.6571041) + (x48 - x27)) * x39)) * ((x36 - -0.06448194) * -0.038826905)"
22,1.0178934,"((x5 * x2) - ((x25 * (x49 - (x27 * -1.1983265))) + (x36 * (sqrt(0.73904514) - (x42 - x5))))) * -0.03321578"
23,1.0177386,"((x5 * x2) - ((((x49 - x5) - (x27 * -1.1983265)) * x25) + (x36 * (0.73904514 - (x37 - x5))))) * -0.03321578"
24,1.0171009,"(((-1.031683 * x20) * x21) - (((x49 - (x27 * -0.9683278)) * x25) + ((sqrt(0.73904514) - (x42 - x5)) * x36))) * -0.03321578"
25,1.0164523,"(-0.020455312 - ((((x39 + -0.77765477) * (x21 + (x48 - 0.4518041))) - ((x49 * x27) + ((-0.4332307 - x21) - x5))) * x36)) * -0.040167842"
27,1.0164393,"((-0.01783888 - ((((x39 + -0.8238719) * ((x21 + x48) - 0.5927579)) - (((x49 * x27) + (-0.2536343 - x21)) - x5)) * x36)) * -0.039810233) - 4.347231e-5"
29,1.0160741,"(((0.8596774 - (((x21 + x48) * (x39 + -0.8453486)) - ((-1.403691 - x21) - x5))) * x36) + (((x2 - (x20 * -1.2581664)) - -0.07317738) * x39)) * -0.03321578"
31,1.0155739,"(((0.8596774 - ((((x21 + x48) - 0.39503118) * (x39 + -0.8453486)) - ((-1.403691 - x21) - x5))) * x36) + (((x2 - (x20 * -1.2581664)) - -0.07317738) * x39)) * -0.03321578"
33,1.0147268,"(((x2 * x5) - (x25 * (x42 - (x27 * -1.1983265)))) + (x36 * (0.21043147 - (((x39 + -0.8453486) * (x21 + x48)) - (((-1.403691 + x42) - x21) - x5))))) * -0.03321578"
34,1.0146482,"(((x2 * x5) - (x25 * (x42 - (x27 * -1.1983265)))) + (x36 * (sqrt(0.21043147) - (((x39 + -0.8453486) * (x21 + x48)) - (((-1.403691 + x42) - x21) - x5))))) * -0.03321578"
35,1.0142052,"(((x5 * x2) - (x25 * ((x42 - (x27 * -1.3752898)) + 0.26489335))) - (((((x21 + x48) - 0.47159308) * (x39 + -0.7336194)) - ((x42 + (-0.49570945 - x21)) - x5)) * x36)) * -0.035883524"
37,1.0127815,"(((-0.070340894 - x25) * (x49 - (x27 * -1.400176))) + (x36 * (x37 - ((x39 * (x21 - (((((x48 - x20) + -0.8737099) + x49) * -0.8679937) + x27))) - ((x42 + -0.97741926) - x5))))) * -0.033160098"
