Complexity,Loss,Equation
1,110.761314,"7.974479"
3,109.79692,"x4 + 8.036297"
5,59.159866,"(x0 * x0) * 6.1442685"
7,55.359562,"((x0 * x0) * 5.313094) + 2.4307027"
9,39.850945,"((x2 * x2) + (x0 * x0)) * 4.0853558"
11,36.03362,"((x0 * x0) * 5.069354) + ((x2 * x2) * 3.053384)"
13,35.261864,"((x0 * x0) * 5.0887923) + (((x2 * 3.0560584) * x2) + x4)"
15,35.140636,"((x2 * (x2 * 3.1768003)) + -0.49489555) + (((x0 * 5.2155066) * x0) + x4)"
17,34.97135,"((((x2 * (x2 * 0.21575126)) - -4.982144) * ((x0 * x0) + 13.519964)) + x4) + -67.58987"
19,34.948494,"((((x0 * x0) + 14.920783) * (((x2 * x2) * 0.19740054) - -5.005577)) - 74.96569) - (x4 * -0.8601227)"
23,34.94371,"(((x0 * x0) + 14.4943495) * ((x2 * (x2 * 0.2024807)) - -4.998721)) + ((x4 + ((-64.6595 - x25) * 0.23513775)) - 57.48675)"
25,34.89658,"((((x2 * (x2 * 0.2024807)) - -4.998721) * ((x0 * x0) + 14.4943495)) + x4) + ((((x2 * x28) - 64.654335) * 0.23513775) - 57.48675)"
27,34.84962,"((((x0 * x0) + 14.575245) * (((x2 * x2) * 0.20086002) - -5.006693)) + x4) + ((((x2 * (x28 - x31)) - 64.65059) * 0.24101442) - 57.659306)"
35,34.837234,"(((((x2 * 0.22839633) * x2) - -4.966316) * ((x0 * x0) + 12.727349)) - 57.93977) + (((x4 - (((x23 + -0.6230048) + (((x28 + 3.9852) - x39) * x4)) * -2.350334)) - 64.7065) * 0.08293011)"
37,34.813282,"((((-64.405205 - ((x23 + (x4 * (((x2 + (x28 + 1.031505)) + 3.441701) - x39))) * (x2 + -2.947118))) * 0.013781084) + ((x0 * x0) + 12.619116)) * ((x2 * (x2 * 0.24616781)) - -4.92162)) - 57.89984"
39,34.812893,"(((x28 - ((x23 + (x4 * ((x2 + 1.1061829) + ((x28 + 3.5190403) - x39)))) * (x2 + -2.9823895))) - 64.70379) * 0.06723624) + (((((x2 * x2) * 0.23173909) - -4.949688) * ((x0 * x0) + 12.5364895)) - 57.900738)"
