Complexity,Loss,Equation
1,117.46202,"2.9240768"
3,101.112404,"x1 * 4.969611"
5,88.4717,"(x1 - x5) * 4.132947"
7,65.86699,"x0 * ((x0 * x1) * 5.021614)"
9,55.14328,"(x0 * ((x0 * x1) * 5.1170025)) + 3.277915"
11,52.99183,"(((x0 * (5.346664 - x47)) * x1) * x0) + 3.1917605"
13,48.43664,"(((x1 * x0) * (x0 * 4.9959826)) + x18) + (3.02956 - x5)"
15,42.99577,"(((x8 + (x0 * (x0 * 5.016758))) * x1) + 3.0383432) - (3.0900505 * x5)"
17,41.92885,"(((x8 + ((x0 * x0) * 5.016758)) * x1) + 3.0383432) - ((x5 * 3.0900505) - x18)"
19,40.786983,"(((x8 + (x0 * (x0 * 5.016758))) * x1) + 3.0383432) - ((x5 * 3.0900505) - (x18 + x22))"
21,40.194195,"((x8 + (((x0 * 5.0028825) + 0.82940876) * x0)) * x1) + (3.0182853 - ((x5 * 3.0944128) - (x18 + x22)))"
24,39.744907,"x18 + ((((x0 * ((sqrt(x0 + 3.3073335) + 3.4928658) * x0)) + x8) * x1) + (x22 + (3.004166 - (x5 * 3.0144653))))"
28,39.537823,"((((((x19 + x8) + (x0 * (x0 * (sqrt(x0 + 3.0041618) + 3.559024)))) + x23) * x1) - ((x5 * 3.0180788) - x18)) - x36) - -2.7982683"
