Complexity,Loss,Equation
1,1.2362548,"-0.06596192"
3,1.2297926,"x37 * -0.10335976"
5,1.0182469,"x6 * (x3 * 0.50104904)"
7,1.0099036,"(0.18069342 - (x3 * x6)) * -0.5062176"
9,1.0069394,"(((x3 * -5.751049) + x20) * x6) * -0.08704298"
11,0.9964821,"-0.09011795 * (x48 + ((x20 + (-5.7511272 * x3)) * x6))"
13,0.98832595,"((x6 * (x3 * -5.7511272)) - (x48 * (-0.9394825 - x39))) * -0.09011795"
15,0.9794643,"((x3 * (x6 * -5.7511272)) - ((x48 * (-0.9394825 - x39)) - x27)) * -0.09011795"
17,0.96507,"((x3 * 0.51310146) * x6) + ((((x32 - x48) * (x40 - x39)) + 0.75947535) * -0.10667718)"
18,0.9647307,"((sqrt(1.1629376) + ((x32 - x48) * (x27 - x39))) + ((x3 * -5.7511272) * x6)) * -0.09011795"
19,0.9560936,"((1.1629376 + ((x32 - x48) * (x40 - x39))) + ((x20 + (x3 * -5.7511272)) * x6)) * -0.09011795"
20,0.95589465,"((sqrt(1.1629376) + ((x40 - x39) * (x32 - x48))) + ((x20 + (x3 * -5.7511272)) * x6)) * -0.09011795"
21,0.9553242,"(x23 + (1.0785048 + (((x32 - x48) * (x27 - x39)) + ((x20 + (x3 * -5.751049)) * x6)))) * -0.08704298"
22,0.95047224,"-0.09011795 * ((x5 + (sqrt(1.1629376) + ((x32 - x48) * (x27 - x39)))) + (((x3 * -5.7511272) + x20) * x6))"
23,0.94012123,"((((x20 * x30) + 1.0766096) + ((x32 - x48) * (x27 - x39))) + (x6 * ((x3 * -5.0701733) + x20))) * -0.09791443"
26,0.9333091,"((((x20 * x30) + x30) + sqrt(1.1629376)) + (((x32 - x48) * (x27 - x39)) + (((x3 * -5.7511272) + x20) * x6))) * -0.09011795"
29,0.9313922,"(((x23 + 1.0785048) + ((x32 - x48) * (x27 - x39))) + (((x20 + (x3 * -5.751049)) * x6) - ((x10 * (x0 - x39)) - x27))) * -0.08704298"
