Complexity,Loss,Equation
1,117.46202,"2.9232194"
3,101.112404,"x1 * 4.9695873"
5,88.4717,"(x1 - x5) * 4.133805"
6,67.7257,"abs(x0 * 8.217833) * x1"
7,65.86699,"((x0 * 5.0216537) * x0) * x1"
8,59.47717,"((x1 * 8.19714) * abs(x0)) + 2.871647"
10,53.99737,"(((abs(x0) * 8.10355) * x1) - x5) + 2.8287332"
11,49.27641,"(((x0 * (x0 * x1)) + 0.6362976) * 5.078656) - x5"
13,39.770206,"((abs(x0) * 8.270939) * x1) + (9.03031 - abs(x2 * 7.7755055))"
15,34.681156,"((((abs(x0) * 8.176993) * x1) + 8.9254675) - x5) - (abs(x2) * 7.6978555)"
17,30.944105,"((9.023278 - abs(x2 * -7.64557)) - x5) + (x1 * ((abs(x0) * 10.939101) - 3.204205))"
19,29.833754,"(((((abs(x0) * (x1 * 8.945514)) - x1) + 8.8511915) - abs(x2 * -7.6034684)) - x5) - x5"
21,28.83854,"((((((abs(x0) * (8.945514 * x1)) - x1) + 8.8511915) - abs(x2 * -7.6034684)) - x5) - x5) + x18"
23,28.425814,"((((x22 + 8.578143) - x5) - x1) - x5) + ((abs(x0) * ((x1 * 9.006752) + x18)) - abs(x2 * 7.333139))"
25,27.74543,"(((((x22 - x5) - x1) - x5) - x5) + (8.578019 - abs(x2 * -7.3330007))) + (((8.996273 * x1) + x18) * abs(x0))"
26,26.800335,"(((abs(x0) * (x1 * (8.996273 + abs(x0)))) + ((((x22 - x5) - x1) - x5) - x1)) + 8.578019) - abs(-7.3330007 * x2)"
28,26.227434,"(((x1 * (8.996273 + abs(x0))) * abs(x0)) + (((((x22 - x5) - x1) - x5) - x1) - x5)) + (8.578019 - abs(-7.3330007 * x2))"
29,26.048172,"((((x1 + -0.13438211) * 9.662269) + x18) * abs(x0)) + ((((((x22 - x5) - x1) - x5) - x1) - x5) + (9.424074 - abs(x2 * -7.1792064)))"
30,26.016308,"((8.578019 + (x1 * abs((8.996273 + abs(x26 + x0)) * x0))) + (((((x22 - x5) - x1) - x5) - x1) - x5)) - abs(-7.3330007 * x2)"
