Complexity,Loss,Equation
1,123.4928,"2.2980883"
3,106.944725,"x1 * 4.774855"
5,101.11153,"(x1 * 4.8363943) + 2.4166026"
6,73.76093,"x1 * (abs(x0) * 7.677754)"
7,63.036697,"(x0 * (x1 * x0)) * 4.8570466"
9,56.154675,"(x0 * (x1 * (x0 * 4.9197702))) + 2.625577"
11,50.82648,"((x0 * ((x1 * x0) * 4.922774)) + 2.700186) - x5"
13,31.523188,"(x0 * ((x1 * x0) * 4.889175)) + (log(abs(x2)) * -4.6850095)"
15,23.303461,"(x1 * ((x0 * x0) * 4.8897104)) + ((x5 + log(abs(x2))) * -4.066061)"
17,21.432474,"(x5 + ((log(abs(x2)) + x5) * -4.4753866)) + ((x0 * (x1 * x0)) * 4.8955398)"
19,21.40996,"(((x1 * (x0 * x0)) * 4.8955398) + (x5 + ((log(abs(x2)) + x5) * -4.4753866))) + 0.15006386"
21,21.379957,"((-4.509149 * (log(abs(x2)) + x5)) + x5) + (((x0 * x1) * ((x0 * 4.9484644) + 0.14664644)) + 0.046794668)"
23,20.91929,"((x0 * (x0 * (x1 * 4.8670106))) + ((x5 + log(abs(x2))) * -3.0017636)) + (log(abs(x2 + -0.00536391)) * -1.9013126)"
