Complexity,Loss,Equation
1,90.178734,"x44"
3,82.963776,"x6 * 3.7308538"
5,53.658092,"(x0 * x12) * -6.893358"
6,47.607388,"(abs(x0) * x1) * 9.536004"
7,42.40052,"((x1 * x0) * 5.368852) * x0"
8,37.82558,"abs(x29 * x0) * (x1 * 11.309238)"
9,26.45672,"((x1 * x0) * 7.132564) * (x0 - x25)"
11,23.488537,"((x0 * 7.133295) * ((x0 - x25) * x1)) - x39"
12,20.428158,"(x1 * abs(x0 * ((x29 * x0) * 8.81962))) + x44"
14,18.164,"x44 + (x44 + ((x0 * x0) * ((x1 * 8.760382) * abs(x29))))"
16,16.038479,"((abs(x29 * (x0 * (x0 - x25))) * x1) * 7.814822) + (x44 - x3)"
17,15.378094,"((x44 + (((x34 + x24) * ((x1 - x13) * x0)) + x14)) - x23) * 3.1663136"
18,13.202353,"(((x1 * abs((x0 * (x29 * x0)) * 8.81962)) + x44) + (x44 + x18)) - x43"
19,11.616182,"((x14 + (x44 + (((x0 * (x34 + x24)) * (x1 - x13)) - x23))) * 3.1666396) + x1"
21,7.290062,"((x14 + (x34 + ((((x34 + x24) * x0) + 0.5852453) * (x1 - x13)))) + (x44 - x23)) * 2.8105903"
23,5.7242236,"((((((x1 - x13) * (((x34 + x24) * x0) + 0.6294932)) + (x44 + x14)) + x34) - x23) * 2.8625576) - x40"
25,4.348328,"(((((x14 + x44) + (((x1 - x13) * (((x34 + x24) * x0) + 0.5572598)) + x34)) - x23) * 2.941163) - x40) - x38"
27,4.0338907,"((((x14 + (((x44 + ((x1 - x13) * ((x0 * (x34 + x24)) + 0.5572598))) + x34) - x23)) * 2.941163) - x40) - x38) + 0.5607184"
29,3.42327,"x21 + (((((((x1 - x13) * (((x34 + x24) * x0) + 0.5474434)) + ((x34 - x23) + (x14 + x44))) * 2.959035) - x40) - x38) - x10)"
