Complexity,Loss,Equation
1,80.647995,"6.5885496"
3,71.96425,"6.6208143 - x1"
4,52.341484,"abs(x0 * 9.236753)"
6,40.405308,"(abs(x0) - x1) * 5.8952837"
7,29.993444,"((x0 * x0) - x1) * 5.1100473"
8,28.621037,"(abs(x0) * 9.414073) - (x1 * 4.832322)"
9,23.796425,"(((x0 * x0) + 0.5385275) - x1) * 4.898908"
10,14.982184,"5.1100473 * ((abs(x2) + (x0 * x0)) - x1)"
12,12.501429,"((-0.29567876 - x1) + (abs(x2) + (x0 * x0))) * 5.0622625"
14,12.496691,"((-0.29634884 - x1) + ((x0 * x0) + abs(x2 - 0.01776773))) * 5.065418"
15,12.309326,"((-0.091282256 - x1) + (abs(abs(x2) - 0.27364555) + (x0 * x0))) * 5.114029"
16,11.644814,"x4 + ((((-0.793064 - x1) + 0.49175996) + (abs(x2) + (x0 * x0))) * 5.1100473)"
17,8.056532,"(((((abs(x2) - 0.16630553) + (x0 * x0)) + -0.12936996) - x1) * abs(5.0622435)) - x3"
18,6.0683227,"x3 + ((abs(x2) + ((((x0 * x0) + (0.10300509 - x3)) + -0.27564403) - x1)) * 4.8120556)"
22,5.6186438,"x3 + ((((abs(x2) + ((-0.6070703 - x1) + ((0.34156013 - x3) + (x0 * x0)))) * 5.00777) + x3) + x0)"
24,4.8957996,"((x3 + x3) + ((((((x0 * x0) + (0.08376029 - x3)) + (-0.8648645 - x1)) + abs(x2)) + 0.57003194) * 5.0657215)) + -0.21897809"
30,4.850969,"(((x40 * -0.20698097) - -0.4050162) + ((x3 + x3) + -0.74832356)) + (((0.34782022 - x3) + ((x0 * x0) + ((abs(x2 + 0.011808056) + -0.5324394) - x1))) * 5.0602407)"
