Complexity,Loss,Equation
1,117.88831,"8.009006"
3,109.30264,"8.029181 - x1"
4,62.964832,"abs(x0 * 10.47953)"
5,60.50045,"(x0 * x0) * 6.032044"
6,50.87261,"(abs(x0) - x1) * 8.217102"
7,34.98795,"5.418569 * ((x0 * x0) - x1)"
8,33.60415,"(x1 - abs(x0 * x0)) * -5.9976788"
9,29.937614,"(((x0 * x0) + 0.4147137) - x1) * 5.418569"
11,23.641785,"((((x0 * x0) - x1) + 0.66546386) - x3) * 4.8472767"
13,22.36751,"(x0 * (x0 * 5.3680167)) + (((x3 + x1) * -4.25871) + 2.6037955)"
14,20.093712,"(x1 * -5.068754) + (abs(x0 * ((x2 * x2) + 3.4939327)) * 2.257148)"
15,11.068023,"(5.0099854 * (x0 * x0)) + (((x2 * x2) + (x1 * -1.7052788)) * 2.9902632)"
17,2.3930626,"((x0 * x0) * 5.0040784) + ((((x2 * x2) + (x1 * -1.708735)) - x3) * 2.9906764)"
19,1.2117504,"((((x2 * x2) + ((x1 * -1.7061774) - x3)) * 2.9887588) + (x0 * (x0 * 5.0081716))) + x4"
21,1.2109828,"((x0 * x0) * 5.0099854) + ((((x2 * x2) + ((x1 * -1.7052788) - x3)) * 2.9902632) - (x4 * -1.0256186))"
23,1.2109293,"(((x0 * (x0 * 5.0073214)) + ((((x1 * -1.7060466) - x3) + (x2 * x2)) * 2.9889245)) - (x4 * -1.0261998)) - -0.009720582"
24,1.2017454,"(abs((x0 * -5.0069385) * x0) + x4) + (((x1 * -1.7071798) + ((x2 * x2) - x3)) * (2.9918954 - (x9 * 0.036100935)))"
26,1.2010041,"(abs((x0 * -5.0104065) * x0) + (((((x1 * -1.7072929) + (x2 * x2)) - x3) * 2.9909377) - ((x31 + x28) * 0.07378889))) + x4"
