Complexity,Loss,Equation
1,128.80392,"2.862825"
3,112.61774,"x1 * 4.9388676"
5,104.41217,"(x1 * 4.940319) + 2.8647618"
6,73.60598,"(abs(x0) * 7.515796) * x1"
7,66.418686,"(x1 * x0) * (x0 * 4.47555)"
8,64.79101,"((x1 * 7.5532513) * abs(x0)) + 2.969243"
9,57.166298,"((x1 * (x0 * x0)) * 4.5101314) - -3.0425065"
11,49.942074,"(((x1 * (x0 * x0)) - -0.75152117) - x5) * 4.200656"
12,40.868176,"(((x0 * (x0 * x1)) - -1.6634898) - abs(x2)) * 4.94143"
14,33.52689,"(((((x1 * x0) * x0) - -1.5072061) - abs(x2)) - x5) * 4.5448976"
16,33.304146,"((((x1 * ((x0 * x0) * 1.1105956)) - -1.5627716) - abs(x2)) - x5) * 4.203354"
18,28.39604,"(((((x1 * (x0 * x0)) * 1.5861571) - -2.9992857) - x5) - abs(x2 * -2.4204533)) * 3.0077355"
22,27.875853,"((((((x0 * (x0 * 1.6721339)) * x1) - -3.097135) - x5) - abs(x2 * -2.478323)) * 2.9932926) - (x4 * x47)"
24,27.72786,"((((((x0 * (x0 * (x1 * 1.6099966))) - -2.6376863) - x5) - abs(x2 * -2.4281604)) * 2.9830334) - (x4 * x47)) - -1.2164081"
26,27.727846,"((((((x0 * (x0 * (x1 * 1.6080937))) - -3.5405931) - x5) - abs(x2 * -2.4254026)) * 2.987086) - ((x4 * x47) - -1.297452)) + -0.19249327"
