Complexity,Loss,Equation
1,158.32545,"2.4781413"
3,136.09409,"x1 * 5.321415"
5,128.31169,"x1 * (x0 * x0)"
6,81.58629,"(x1 * 8.592876) * abs(x0)"
7,65.2416,"x1 * (x0 * (x0 * 4.9324718))"
9,58.39028,"(x1 * (x0 * (x0 * 4.9505634))) + 2.617908"
11,53.443993,"((((x0 * 4.951385) * x1) * x0) + 2.6847196) - x5"
13,48.661125,"((0.84750205 - x5) + (x1 * (x0 * (x0 * 1.4801881)))) * 3.3434303"
15,46.858677,"((x1 * (abs(x0) - 0.3733027)) * 12.085621) + ((1.1900058 - abs(x2)) * 7.1526685)"
17,40.60091,"(x1 * ((abs(x0) - 0.37032598) * 12.001591)) + (((1.4461241 - x5) - abs(x2)) * 4.6297946)"
19,36.823254,"((((abs(x0) - 0.3583364) * x1) * 12.126105) + -23.87335) + ((4.381053 - abs(x2)) * (7.5327997 - x5))"
22,31.244726,"((((abs(x0) - 0.36912832) * (x1 * 3.4515233)) - (x5 - 0.11746529)) - ((sqrt(abs(x2)) + -1.0062995) * 4.113554)) * 3.496405"
23,28.47155,"3.5076542 * (((2.9607782 - x5) + ((abs(x0) - 0.3715765) * (3.4472084 * x1))) - ((sqrt(sqrt(abs(x2))) + -0.59528846) * 7.2878985))"
24,24.515251,"(((x1 * abs(-0.041059855 - abs(x0 * abs(x0)))) + (1.905863 - (sqrt(abs(x2 * 9.103413)) + -1.2634786))) - x5) * 4.735666"
27,20.888008,"((((x1 * abs(x0)) * (abs(-0.09187977 - x0) + 0.35077286)) - (x5 - 1.09346)) - ((sqrt(sqrt(abs(abs(x2)))) + -0.83651334) * 6.4630523)) * 3.9963496"
