Complexity,Loss,Equation
1,132.27998,"2.3388684"
3,117.390114,"x1 * 4.8052244"
5,107.07961,"(x5 - x1) * -3.9512067"
6,84.25898,"x1 * abs(x0 * 7.787259)"
7,70.684944,"x0 * ((x0 * x1) * 4.954303)"
9,61.338974,"(x0 * (x0 * (x1 * 5.11465))) + 3.0684586"
11,55.937416,"(3.126845 - x5) + (((x1 * 5.079849) * x0) * x0)"
12,42.412346,"((abs(x2) - ((x0 * x0) * x1)) * -5.405852) + 7.2904186"
14,37.222313,"((abs(x2) - ((x0 * x0) * x1)) * -5.3704233) + (7.3212595 - x5)"
16,34.718338,"(9.266806 - ((x0 * x1) * (x0 * -5.039829))) + ((abs(x2) * -7.9470716) - x5)"
18,32.65256,"((9.251409 - (x0 * (x0 * (-5.6436353 * x1)))) + ((abs(x2) * -8.000171) - x5)) - x5"
20,32.61437,"((9.251409 - (((x0 * x0) * x1) * -5.6436353)) + ((abs(x2) * -8.000171) - (x5 + -0.2700774))) - x5"
21,31.500305,"(((6.5271196 - (abs(x0 * x0) * (x1 * -5.0052223))) + ((abs(x2) * -7.9051194) - x5)) + 2.7656202) - x5"
24,31.299978,"((((abs(x2) * -7.916812) - ((abs(x0) * -5.6012897) * ((abs(x0) + -0.20569646) * x1))) - x5) - (x5 - -0.5896318)) + 9.893378"
25,30.845312,"(8.515679 - (x1 * (abs(x0 * x0) * -4.9824247))) + ((((abs(x2) * -7.8610897) - x5) - x5) + ((x47 - x5) - -0.81149995))"
26,30.068195,"((((((abs(x2) * -8.000171) - ((((abs(x0) + -0.1949428) * -5.6436353) * x1) * abs(x0))) - x5) + 9.251409) - x5) - x5) - -0.1949428"
28,29.9829,"((((((abs(x2) * -8.000171) - (((abs(x0) + -0.1949428) * -5.6436353) * (x1 * abs(x0)))) - x5) + (9.251409 - x5)) - x5) - -0.1949428) - x48"
