Complexity,Loss,Equation
1,165.07666,"x1"
3,133.97144,"x1 * 6.406094"
5,125.4391,"(x1 * 6.430857) + 2.921084"
6,80.719215,"x1 * (abs(x0) * 9.0255575)"
7,74.630165,"((x0 * x1) * x0) * 5.1809487"
8,71.31702,"(x1 * (abs(x0) * 9.081853)) - -3.0669143"
9,63.953434,"(x0 * ((x1 * 5.246915) * x0)) + 3.2698905"
11,56.48951,"((((x0 * x1) * x0) - x5) * 4.8192754) + 3.1453974"
12,42.987606,"((((x0 * x0) * x1) - abs(x2)) * 5.391694) + 7.700853"
13,31.222448,"((x0 * (x0 * x1)) * 5.08194) + (log(abs(x2)) * -5.1361165)"
15,24.558079,"((log(abs(x2)) + x5) * -4.284466) + ((x1 * (x0 * x0)) * 5.0656686)"
17,24.130987,"((x5 + log(abs(x2))) * -4.273485) + (((x0 * 5.0511923) * (x1 * x0)) - x13)"
19,22.250471,"(((5.06279 * x0) * x0) * x1) - (((x5 * 0.39160544) - (log(abs(x2)) + x5)) * -5.00357)"
21,22.211979,"((x0 * ((5.06279 * x0) * x1)) - (((0.39160544 * x5) - (x5 + log(abs(x2)))) * -5.00357)) + x8"
23,22.206238,"((x0 * ((x0 * 5.06279) * x1)) - ((((0.39160544 * x5) - (x5 + log(abs(x2)))) * -5.00357) + -0.06486378)) + x8"
25,22.067644,"((((x0 * x0) * 5.06279) * x1) - ((((0.39160544 * x5) - (x5 + log(abs(x2)))) * -5.00357) + (-0.6575406 * x3))) + x8"
30,21.891718,"(x8 + ((abs(x43 * 0.55120975) - 0.40038538) + ((((x0 * x0) * x1) * 5.0175967) - (((x5 * 0.3790508) - (x5 + log(abs(x2)))) * -4.981733)))) - x13"
