Complexity,Loss,Equation
1,113.870476,"2.5411248"
3,95.43043,"x1 * 4.921048"
5,88.194374,"(x1 + 0.53848726) * 4.999536"
6,60.865826,"abs(x0 * 7.9370866) * x1"
7,51.39408,"((x1 * x0) * x0) * 5.0803595"
9,44.862774,"(((x1 * x0) * x0) * 5.0834417) + 2.5558095"
10,40.80022,"4.8542395 * ((x1 * abs(x0)) - log(abs(x2)))"
11,21.321156,"((x0 * (x1 * x0)) - log(abs(x2))) * 4.841697"
13,15.538807,"((((x1 * x0) * x0) - log(abs(x2))) - x5) * 4.6007795"
15,13.60236,"((((x0 * (x0 * x1)) - log(abs(x2))) - x5) * 4.5181346) + x5"
16,13.415197,"((((x0 * (x1 * x0)) - log(abs(x2))) - x5) * sqrt(24.311785)) + x5"
17,13.245625,"(((((x0 * (x0 * x1)) - log(abs(x2))) - x5) * 4.750682) + x5) + 0.20978478"
18,13.220448,"((abs(-4.5181346) * (((x0 * (x1 * x0)) - log(abs(x2))) - x5)) + x5) * 1.0791184"
19,12.651416,"(x5 + ((((((x1 * x0) * x0) - log(abs(x2))) - x5) * 4.9412694) + x5)) + -0.017755538"
23,12.560064,"((((((x0 * x0) * x1) - log(abs(x2))) - x5) * 5.0028744) + x5) + ((sqrt(abs(x2)) + -0.8730495) + x5)"
