Complexity,Loss,Equation
1,127.93056,"2.6981578"
3,111.43034,"x1 * 4.8582525"
5,99.211945,"(x1 - x5) * 4.1950197"
6,75.03906,"x1 * (abs(x0) * 7.6690807)"
7,63.312607,"((x0 * x0) * x1) * 4.8786902"
9,54.3738,"(x1 * ((x0 * x0) * 4.937784)) + 2.9914043"
11,49.063633,"((((x1 * x0) * x0) * 4.9056854) + 2.9704123) - x5"
13,44.44334,"((x5 * -3.1458378) + 2.9245682) + ((x0 * x0) * (x1 * 4.836829))"
14,33.83708,"(x1 * (x0 * (x0 * 4.8206844))) + ((abs(x2) + -1.1691841) * -7.7358975)"
16,31.089546,"((-1.4969652 + (abs(x2) + x5)) * -4.0612783) + (x0 * (x1 * (4.7513223 * x0)))"
18,29.473354,"(x5 + (x1 * (x0 * (x0 * 4.735014)))) + (-4.773836 * ((x5 + abs(x2)) + -1.5058117))"
20,27.739204,"(((x1 * ((x0 * 4.7439938) * x0)) + ((abs(x2) + (x5 + -1.3166088)) * -5.4626536)) + x5) + x5"
27,26.21495,"(((abs(x2 + x2) * -2.3421984) + -1.4342734) + ((x0 * ((x0 * 4.740696) * x1)) + -0.8701972)) + ((abs(x2) + (x5 + -4.1077085)) * -2.6879077)"
