Complexity,Loss,Equation
1,148.76814,"3.1081617"
3,136.65125,"x1 * 4.9852624"
5,125.19318,"x0 * (x1 * x0)"
6,83.39744,"abs(x0) * (x1 * 9.285366)"
7,63.9012,"((x0 * x0) * 5.1345882) * x1"
9,55.025425,"(((x0 * 5.113726) * x0) * x1) + 2.9794378"
11,50.50107,"((((x1 * x0) * x0) * 5.1290593) + 3.063067) - x6"
12,36.772354,"5.3078256 * ((1.3466835 + (x0 * (x1 * x0))) - abs(x2))"
14,32.04512,"((((x0 * (x1 * x0)) - abs(x2)) - -1.2914766) * 5.329049) - x6"
16,31.911398,"(((((x0 * (x1 * x0)) - abs(x2)) - -1.2914766) * 5.329049) - -0.36561707) - x6"
18,30.659336,"((((((x1 * x0) * x0) - abs(x2)) - -1.2914766) * 5.329049) - (x6 + x2)) - x6"
20,29.032724,"(((((((x0 * x1) * x0) - (abs(x2) - -0.19152002)) - -0.41027644) + 1.1546456) * 5.350455) - x6) - x6"
