Complexity,Loss,Equation
1,118.25202,"3.7597501"
3,107.05718,"x1 * 5.027814"
5,93.09737,"3.7365305 - (x1 * -5.0105953)"
6,67.24771,"(x1 * 8.278453) * abs(x0)"
7,59.43526,"x1 * (x0 * (x0 * 5.2381454))"
8,56.325207,"((x1 * abs(x0)) * 8.08489) - -3.3103344"
9,49.854023,"(x1 * (x0 * (x0 * 5.0878534))) - -3.1050622"
11,46.418446,"((x1 * x0) * (x0 * 5.0679693)) - (x6 + -3.1076648)"
12,44.8413,"(((x0 * x0) * x1) * 5.077682) - (abs(x2) + -3.8969061)"
13,42.435253,"4.082186 - ((x1 * (x0 * (x0 * -5.066632))) + (x2 * x2))"
14,29.2702,"(((x0 * (x1 * x0)) * 5.0097075) + 9.184846) - abs(x2 * 7.67785)"
16,24.958138,"((x1 * ((x0 * x0) * 4.9881687)) + (9.3155155 - (abs(x2) * 7.839654))) - x6"
17,24.045572,"(((x0 * x1) * (x0 * 5.008908)) + ((1.5570112 - sqrt(abs(x2))) * 14.36347)) - 7.5326056"
19,23.152922,"(((8.224335 - x6) * abs(2.5153642 - abs(x2))) - 11.065612) + (((x0 * x1) * 4.9656343) * x0)"
20,22.625711,"((((x0 * ((x0 * 4.9666824) * x1)) + (4.795599 - (abs(x2) * 8.001482))) - x6) - x6) + 4.650626"
21,21.592985,"((x0 * 4.960343) * (x0 * x1)) + (((abs((abs(x2) - 1.9491315) * 9.147228) - x6) - x6) - 7.7467976)"
22,19.537506,"((x6 * (x3 - 2.6873279)) + (((x1 * (x0 * x0)) * 4.9523897) + (abs(0.0123047205 - x2) * -8.194087))) - -9.607568"
