Complexity,Loss,Equation
1,175.59566,"3.058897"
3,150.6858,"x1 * 5.7165856"
5,142.82375,"(x1 + 0.50159574) * 5.5953236"
6,90.21604,"(x1 * abs(x0)) * 8.869754"
7,71.5756,"(x0 * (x0 * 5.0035386)) * x1"
9,60.938255,"(((x1 * 5.032576) * x0) * x0) - -3.2621145"
11,55.23147,"((((x0 * x1) * x0) * 5.0383835) - -3.2072546) - x6"
13,49.667892,"(((x1 * x0) * x0) * 5.0518594) + ((x6 * -3.3626223) - -3.0777824)"
14,34.843376,"((x1 * 5.033407) * (x0 * x0)) + (9.738137 - abs(x2 * -7.874775))"
16,29.684187,"((9.738137 + (x1 * ((x0 * 5.033407) * x0))) - abs(x2 * -7.874775)) - x6"
18,25.612808,"(((3.69152 - abs(x2 * 3.0010674)) - x6) + ((x1 + x1) * (x0 * x0))) * 2.5539026"
21,24.330215,"(((x0 * ((x1 + x1) * 2.5224016)) * x0) - log(abs((x2 * x2) * x2))) - (x6 + -1.6987019)"
23,23.210363,"((((x1 + x1) * (2.5224016 * x0)) * x0) - log((x2 * x2) * abs(x2 * (x2 * x2)))) - -1.046503"
25,18.243359,"(((x1 + x1) * ((2.5224016 * x0) * x0)) - log((x2 * x2) * abs((x2 * x2) * x2))) - (x6 - 0.83288693)"
27,17.514524,"(((((x1 + x1) * 2.5286355) * x0) * x0) - log(((x2 * (x2 * x2)) * x2) * abs(x2))) - ((x6 - 0.0028422188) + 0.022637337)"
