Complexity,Loss,Equation
1,103.8183,"2.3443382"
3,89.93883,"x1 * 4.43587"
5,78.3309,"(x1 - x6) * 3.955745"
6,66.71383,"(abs(x0) * 6.6886625) * x1"
7,61.490883,"x1 * ((x0 * x0) * 4.5696793)"
8,58.888138,"((x1 * abs(x0)) * 6.88458) - -2.8041449"
9,50.990723,"(((x1 * x0) * x0) - x6) * 4.351076"
11,41.46399,"(((x0 * (x1 * x0)) - x6) + 0.7097713) * 4.351076"
13,40.600323,"((x0 * ((x0 * 1.3131536) * x1)) + (0.86110526 - x6)) * 3.5741262"
15,39.858456,"(((((x0 * (x0 * 1.339817)) * x1) + 0.86003083) - x6) * 3.5711167) - x26"
17,39.811817,"(((((((x1 * 1.296117) + -0.068912394) * x0) * x0) + 0.91568255) - x6) * 3.6019285) - x26"
19,39.363888,"((((((x1 * 1.3622897) + (x45 * 0.16807011)) * (x0 * x0)) + 0.8614211) - x6) * 3.5751057) - x26"
23,39.322037,"(((((x0 * ((x1 * 1.3493552) + (-0.04963783 - (x45 * -0.16342503)))) * x0) + 0.6175601) + (0.2831915 - x6)) * 3.594683) - x26"
24,36.05012,"((((((x1 * 1.3494054) + -0.049630184) - (x45 * -0.16341737)) * (x0 * x0)) + (0.6175767 + (0.28320682 - x6))) * 3.5946846) - abs(x2)"
