Complexity,Loss,Equation
1,227.43208,"1.842592"
2,224.77136,"abs(x26)"
3,183.86568,"x1 * 6.2155123"
5,168.85834,"x1 * (x0 * x0)"
6,96.25481,"x1 * abs(x0 * 8.558756)"
7,81.699936,"((x1 * x0) * 4.2462606) * x0"
9,73.475494,"(3.9467142 - x5) * ((x0 * x0) * x1)"
11,63.010414,"(x0 * (((x1 * 4.6185107) - x4) * x0)) + 2.61578"
13,59.090748,"((x0 * (((x1 + -0.3002713) * 4.327492) - x4)) * x0) + 4.053165"
14,53.462574,"((((x0 * x1) * x0) * 4.4935355) + 8.202062) - abs(x2 * 6.9837475)"
16,47.19648,"(8.159126 - abs(x2 * -6.7596536)) + ((x1 * x0) * (x0 * (3.7922392 - x5)))"
18,44.90708,"((5.096713 - (abs(x2) * 4.230495)) + ((2.5088966 - x5) * ((x0 * x1) * x0))) * 1.5814812"
20,43.445137,"(((5.0581894 - abs(4.196484 * x2)) + ((2.4908931 - x5) * ((x0 * x1) * x0))) * 1.5888622) + x13"
22,41.43235,"((((3.0574853 - (4.232545 * abs(x2))) + ((((2.5098214 - x5) * x1) * x0) * x0)) + 2.0411649) * 1.5809374) - x44"
24,37.394512,"((0.32142168 - ((-0.59823424 + abs(x2 * 4.9116907)) - x26)) + ((2.9246466 - x5) * (((x1 * x0) * x0) + 1.7640064))) * 1.4284415"
26,32.728683,"((0.32142168 - (abs(x2 * 4.9116907) - x26)) + (((2.9246466 - x5) * (((x1 * x0) * x0) + 1.7640064)) - (x44 - x19))) * 1.4284415"
28,32.004574,"(((0.32142168 - (((abs(x2) * 4.9116907) + -0.59823424) - x26)) + ((2.9246466 - x5) * (((x1 * x0) * x0) + 1.7640064))) - (x44 - x19)) * 1.4284415"
30,31.814575,"(((0.71600026 - (abs((x2 * 5.089933) + 0.21097328) - x26)) + (((3.0103393 - x5) * ((x0 * (x1 * x0)) + 1.8328897)) - (x44 - x19))) * 1.3947203) + 0.086913325"
