Complexity,Loss,Equation
1,103.44042,"7.7560463"
3,94.385315,"7.7811494 - x1"
4,62.34698,"abs(x0 * 10.174009)"
5,61.29053,"(x0 * x0) * 5.996588"
6,50.331833,"(abs(x0) - x1) * 7.662262"
7,37.334972,"((x0 * x0) - x1) * 5.7673798"
8,36.64831,"((abs(x0) * 2.024921) - x1) * 5.08141"
9,30.55555,"(abs(x2) + (abs(x0) - x1)) * 5.689807"
10,15.641733,"((x0 * x0) + (abs(x2) - x1)) * 4.852404"
11,15.641731,"(((x0 * x0) + abs(abs(x2))) - x1) * 4.852548"
12,9.2988,"((((x0 * x0) + abs(x2)) - x1) - x3) * 4.579849"
14,6.3766656,"(((abs(x2) + (x0 * x0)) - x1) - (x3 * 0.6220356)) * 4.8404055"
16,6.3637996,"(4.8404055 * (abs(x2) + (((x0 * x0) - x1) - (0.6220356 * x3)))) - 0.00946263"
17,5.9432273,"(4.8404055 * (abs(x2) + (((x0 * x0) - x1) - (0.6220356 * x3)))) - sqrt(0.7604513)"
18,5.4779973,"(((((x0 * x0) + (-0.2498466 + (abs(x2) - x1))) * 5.2033453) - x3) - x3) - x3"
19,5.477997,"((((abs(abs(x2)) + ((-0.2498466 + (x0 * x0)) - x1)) * 5.2033453) - x3) - x3) - x3"
20,4.714222,"(((abs(x2) + (((x0 * x0) - x1) * 0.7450148)) * 6.7092094) - (x3 + 2.3679047)) + (x4 - x3)"
22,4.3888435,"((x4 + (((((x0 * x0) * 0.90160984) + (abs(x2) - x1)) * 5.5097938) - x3)) - 1.3407695) - (x3 * 2.0111332)"
23,2.6913486,"(((x0 * x0) - x3) * 5.260027) + ((((((x2 * x2) - 0.3292448) + x3) + 0.32937047) * 2.7588816) - (x1 * 5.0186))"
25,2.6912913,"(((((x2 + 0.5466855) * (x2 - 0.5494476)) + (x3 + 0.30054495)) * 2.7588236) - (x1 * 5.018586)) + (((x0 * x0) - x3) * 5.26003)"
