Complexity,Loss,Equation
1,123.92925,"2.813146"
3,109.111534,"x1 * 4.694812"
5,100.763084,"(x1 * 4.741311) - -2.8897827"
6,73.80571,"(abs(x0) * x1) * 7.6919265"
7,63.932888,"(x1 * (x0 * x0)) * 4.9015183"
9,54.9295,"((x0 * (x1 * x0)) * 4.941873) + 3.0012789"
11,48.48575,"(((x0 * (x0 * x1)) - x5) * 4.4189816) + 3.0607412"
13,45.784718,"(((x0 * (x0 * x1)) * 4.925926) - (x5 * 3.0117214)) + 3.0548184"
14,32.840942,"(((x0 * (x1 * x0)) - abs(x2)) * 5.235562) - (x5 - 6.354017)"
15,21.491781,"(4.9547863 * ((x0 * x0) * x1)) - (x5 - (log(abs(x2)) * -5.013021))"
17,21.351078,"(-0.17048442 - ((x5 - (x0 * (x1 * x0))) * 4.922278)) - (log(abs(x2)) * 5.013542)"
19,18.428387,"(((-0.0130348485 - (x5 - (x1 * (x0 * x0)))) * 4.922278) + x5) - (log(abs(x2)) * 5.013542)"
21,17.529655,"((-0.08659839 - x5) - (x5 - (((x0 * x0) * x1) * 4.949467))) - (x5 - (log(abs(x2)) * -5.007064))"
23,17.529058,"(((-0.08685977 - (x5 * 0.9786571)) - (x5 - (x0 * (x0 * (x1 * 4.9442654))))) - x5) - (log(abs(x2)) * 5.0013294)"
25,17.52699,"((-0.08659839 - (x5 + (0.07223575 * x47))) - (x5 - (x0 * ((x0 * x1) * 4.949467)))) - (x5 - (log(abs(x2)) * -5.007064))"
27,17.525358,"((-0.08659839 - (x5 - ((x1 * 0.07223575) * 0.78903866))) - (x5 - (((x0 * x0) * x1) * 4.949467))) - (x5 - (log(abs(x2)) * -5.007064))"
28,17.502863,"((-0.09125534 - (x5 - (abs(x20) * (x1 * 0.18302955)))) - (x5 - ((x0 * x0) * (x1 * 4.8943505)))) - (x5 - (log(abs(x2)) * -5.006162))"
