Complexity,Loss,Equation
1,130.0526,"3.3896606"
3,116.88039,"x1 * 5.008331"
5,106.01984,"(x1 - -0.66659385) * 4.94482"
6,78.98167,"(abs(x0) * 8.008025) * x1"
7,69.34394,"((x0 * 5.001891) * x0) * x1"
8,68.45886,"(abs(x0 * 7.947148) * x1) - -3.2441888"
9,58.709595,"((x1 * x0) * (x0 * 4.9727745)) + 3.261384"
11,46.861786,"(((x1 * abs(x0)) + 1.198473) - abs(x2)) * 7.903726"
12,41.63663,"((((x1 * x0) * x0) + 1.2065225) - abs(x2)) * 4.791362"
14,33.310905,"((x1 * (x0 * x0)) + (1.470291 - (abs(x2) + x5))) * 4.791362"
16,33.3109,"((((x0 * x1) * x0) + 1.2071522) - ((abs(x2) + x5) - 0.26322454)) * 4.7913885"
18,32.88155,"(((x0 * x1) * x0) + (1.2065225 - ((x5 - 0.26376858) + abs(x2 * 1.0449954)))) * 4.791362"
19,31.456318,"((abs(x0 * -1.6857249) + 3.1591642) * ((abs(x0 * 1.3847089) * x1) - log(abs(x2)))) + 0.32222682"
23,23.787693,"(((((abs(x0 * -3.220513) * x1) - (x5 + abs(x2))) + 0.92499584) - (x1 + log(abs(x2)))) - -0.19689615) * 3.2976265"
25,22.180645,"((((x1 * abs(x0 * -2.44695)) + 1.101133) - (x5 + 0.9508434)) - (log(abs(x2)) + x1)) * (abs(x0 - -0.0072127245) + 3.1444998)"
26,21.126007,"(abs(x0) + 3.081624) * (0.82121956 * (((1.1317487 - (x5 + abs(x2))) + (x1 * abs(x0 * -2.8554866))) - (x1 + log(abs(x2)))))"
28,21.122356,"((abs(x0 - -0.032318354) + 3.081624) * 0.82121956) * ((x1 * abs(x0 * -2.8554866)) + ((1.1317487 - (x5 + abs(x2))) - (x1 + log(abs(x2)))))"
30,21.114988,"(abs(x0 + 0.0161283) + 3.2626152) * (((((x1 * abs((x0 * -2.8757057) - 0.0151126245)) - (abs(x2) + x5)) + 1.1281055) - (log(abs(x2)) + x1)) * 0.78384364)"
