Complexity,Loss,Equation
1,134.0113,"3.12318"
3,116.99705,"x1 * 5.151945"
5,107.5258,"(x1 * 5.1248374) + 3.0776203"
6,79.53428,"(x1 * 7.9009356) * abs(x0)"
7,69.19377,"x0 * ((x0 * x1) * 4.9040565)"
8,69.158966,"(abs(x0 * 7.9397144) * x1) + 3.2212346"
9,58.344982,"((x0 * (x1 * x0)) * 4.940953) + 3.2942655"
11,51.87675,"(((x1 * x0) * x0) + (0.7350995 - x5)) * 4.431415"
13,26.3834,"4.968873 * (((x0 * (x1 * x0)) + 0.16154762) - log(abs(x2)))"
15,20.490503,"((((x0 * x1) * x0) + (0.069890104 - x5)) - log(abs(x2))) * 4.590548"
21,19.445002,"(((x0 * x0) * x1) * 4.968951) + (((0.16156308 - x5) - log(abs(x2))) * (x2 + (4.085843 - x2)))"
22,19.335531,"((x0 * ((x1 * x0) * 4.9885035)) + (3.229951 * (((1.1749921 - abs(x2)) - x5) - log(abs(x2))))) - x2"
24,18.365396,"(x0 * (x0 * (x1 * 4.9885035))) + (((x2 + 3.229951) - x2) * (((1.1749921 - abs(x2)) - x5) - log(abs(x2))))"
