Complexity,Loss,Equation
1,140.85922,"3.2920008"
3,123.08129,"x1 * 5.364616"
5,112.3529,"(x1 * 5.3539) + 3.2776918"
6,80.3368,"abs(x0 * 8.218904) * x1"
7,68.13465,"x0 * (x0 * (x1 * 4.9997005))"
9,57.348907,"((x0 * (x0 * 4.9980927)) * x1) - -3.2841666"
11,51.604378,"(((x0 * (x0 * x1)) - -0.7086191) - x5) * 4.5250435"
12,38.673676,"((x0 * (x1 * x0)) - (abs(x2) + -1.4194785)) * 5.26773"
14,38.673332,"((((x0 * x1) * x0) - abs(x2 + -0.0021640933)) * 5.2672873) + 7.476787"
16,33.676216,"((x1 * ((x0 * x0) + 0.0021241836)) - ((-1.4656806 + x5) + abs(x2))) * 4.7807827"
21,33.63315,"(((((x1 * (x0 + x0)) * x0) + 0.2006667) - ((abs(x2) + abs(x2)) + -2.638145)) * 2.6336458) - x5"
22,29.731222,"2.6612318 * (((abs(0.77479124) + ((x0 * (x0 + x0)) * x1)) - (abs(x2) + (x5 + -2.0125897))) - abs(x2))"
24,28.628912,"(abs(x5 + -1.8360882) - (abs(abs(x2 * (x5 - -6.8393927))) + (x5 + -7.596248))) + ((x0 * x0) * (5.0195265 * x1))"
26,28.021557,"-0.88248175 + ((abs(x5 + -1.8360882) - (abs(abs(x2 * (-6.8393927 - x5))) + (x5 + -7.596248))) + ((x0 * 5.0195265) * (x1 * x0)))"
28,27.387718,"((abs(x2) * -3.8376126) + (abs(x5 + -4.214766) - ((x5 - (-3.8060265 * abs(x2))) + (x5 + -5.100312)))) + (x1 * (x0 * (x0 * 5.0249925)))"
29,27.295763,"(x1 * ((x0 * 5.0220113) * x0)) + ((abs(x2) * -4.6532264) + abs(abs(x5 + -2.3409367) - ((x5 + abs(x2 * (x5 - -3.856523))) + -7.4657354)))"
