Complexity,Loss,Equation
1,104.087555,"4.2823334"
3,97.620316,"x1 + 4.241966"
5,68.99217,"log(abs(x2)) * -5.1205087"
7,52.75221,"(x1 - log(abs(x2))) * 4.8577557"
9,44.60191,"(x1 - (log(abs(x2)) + x5)) * 4.3315268"
10,34.07484,"((abs(x0) * x1) - log(abs(x2))) * 5.651982"
11,25.149967,"((x0 * (x0 * x1)) - log(abs(x2))) * 5.113799"
13,16.371302,"(((x1 * (x0 * x0)) - log(abs(x2))) - x5) * 4.683008"
15,11.199812,"4.7434883 * ((x1 * (x0 * x0)) + ((x3 * x4) - log(abs(x2))))"
17,11.099719,"(((x3 * x4) - log(abs(x2))) * 4.787889) + ((x1 * (x0 * x0)) * 4.9754047)"
19,4.069302,"((((x4 * x3) - log(abs(x2))) - x5) * 4.213481) + (((x0 * x1) * x0) * 4.974433)"
21,1.5562662,"((((x3 * x4) - (log(abs(x2)) * 1.4774674)) - x5) + ((x1 * x0) * (x0 * 1.4661839))) * 3.4054139"
23,1.5556245,"(((((x3 * x4) - (log(abs(x2)) * 1.4774842)) - x5) + ((x1 * (x0 * x0)) * 1.4661933)) * 3.4053931) - 0.025332976"
24,1.5556239,"(((((x3 * x4) - (log(abs(abs(x2))) * 1.4774674)) - x5) + ((x1 * (x0 * x0)) * 1.4661839)) * 3.4054139) - 0.025195807"
28,1.5556238,"((((((x1 * x0) * x0) * 1.4662087) + ((((x4 * x3) - (log(abs(abs(x2))) * 1.4774991)) - x5) - -0.02132661)) - -0.03520503) * 3.4053764) + -0.217893"
29,1.5556237,"(3.4053876 * (((x1 * x0) * (x0 * 1.4662035)) + ((((-0.71630436 + ((x4 * x3) - (1.477495 * log(abs(x2))))) - x5) - -0.23437296) - -0.24824087))) + 0.77042186"
